RegioNaam;@invalid;@blank;PvdA;CDA;VVD;D66;Algemeen Ouderen Verbond (AOV);GL;Centrumdemocraten;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);SP;Ouderen Unie 55+;Centrumpartij;Natuurwetpartij;Vrije Indische Partij;DG;Nieuwe Communistische Partij;Solidariteit Boerenpartij;Partij voor Milieu en Recht;Solidair '93;Pacifistisch Socialistische Partij '92;De Nieuwe Partij;Algemeen Democratische Partij;Patriottisch Democratisch Appèl;Socialistische Arbeiderspartij;Libertarische Partij;@abs
Aalburg-G0738;;17;812;1733;931;502;179;55;148;554;1496;197;34;20;12;10;1;6;0;9;5;5.0;0;6;0.0;3.0;1;3;1239.0
Aalsmeer-G0358;;28;2107;3581;4380;1988;483;293;246;283;77;123;41;85;85;30;11;27;4;9;15;7.0;15;15;8.0;29.0;6;5;2922.0
Aalten-G0197;;26;2301;5193;1407;1267;254;220;145;376;27;81;40;54;27;12;5;21;3;27;9;1.0;1;6;6.0;;1;5;2207.0
Aardenburg-G0648;;15;454;605;442;216;88;27;61;6;7;10;2;18;9;0;1;4;3;9;3;;0;2;2.0;;1;2;589.0
Aarle-Rixtel-G0739;;11;757;1182;629;536;150;65;82;9;5;12;43;71;6;10;3;1;0;4;2;;5;17;0.0;1.0;2;0;817.0
Abcoude-G0305;;0;827;1273;1653;865;126;135;99;69;52;52;18;47;6;11;9;12;5;7;1;0.0;5;1;1.0;9.0;3;2;819.0
Achtkarspelen-G0059;;46;5145;5721;1320;1222;250;268;219;1033;195;915;64;31;55;22;5;14;30;18;17;15.0;12;7;10.0;;1;5;3988.0
Akersloot-G0360;;8;616;814;798;522;127;78;42;12;0;10;12;36;8;16;0;6;1;3;1;1.0;1;0;0.0;2.0;2;2;558.0
Alblasserdam-G0482;;38;3193;1843;1615;1283;267;163;267;466;1150;177;68;57;58;37;39;7;9;2;6;10.0;5;11;0.0;1.0;2;0;2211.0
Albrandswaard-G0613;;26;1648;2056;2971;1345;286;167;282;114;144;131;49;68;42;29;7;12;2;7;13;8.0;10;11;0.0;3.0;4;1;2187.0
Alkemade-G0483;;15;1037;3119;2418;1147;242;332;205;28;18;26;64;64;38;24;0;12;7;11;13;0.0;9;3;2.0;;2;5;1712.0
Alkmaar-G0361;;85;13996;8566;10239;9482;1812;2938;835;402;72;357;1210;512;242;317;100;147;57;24;58;128.0;91;60;10.0;56.0;36;28;15308.0
Almelo-G0141;;119;10794;8260;5657;5257;962;926;902;547;104;441;526;864;174;85;186;24;51;24;35;18.0;26;29;7.0;;5;11;10469.0
Almere-G0034;;172;11768;4484;14610;11473;2741;2127;1610;334;57;402;476;474;301;223;117;60;115;21;63;89.0;35;35;;192.0;11;17;15417.0
Alphen aan den Rijn-G0484;;65;6272;7797;9797;6983;1049;1119;607;1099;525;523;1188;181;99;81;90;85;16;22;47;9.0;29;20;10.0;;16;9;10212.0
Alphen en Riel-G0741;;9;581;1609;775;556;164;51;61;10;3;6;19;18;9;8;5;1;2;1;11;0.0;2;1;1.0;0.0;2;2;750.0
Ambt Delden-G0142;;6;401;2018;718;257;36;26;50;7;2;8;3;20;3;4;0;1;3;19;1;2.0;0;0;0.0;;0;0;410.0
Ameland-G0060;;7;735;968;522;308;74;62;33;22;6;29;4;14;8;3;0;1;6;1;0;2.0;4;0;0.0;;1;2;
Amerongen-G0306;;3;884;1020;1087;585;121;62;93;191;393;55;19;25;14;7;7;2;2;15;3;2.0;4;8;1.0;2.0;0;4;804.0
Amersfoort-G0307;;171;13676;11984;13333;11939;2046;3011;1298;1064;713;2583;401;727;221;227;204;97;54;51;52;74.0;48;60;19.0;60.0;45;20;17721.0
Ammerzoden-G0198;;11;493;1021;489;357;113;31;87;31;42;14;19;37;5;6;0;5;2;4;1;;0;0;5.0;;2;0;558.0
Amstelveen-G0362;;61;9210;8042;15470;8979;1995;1645;532;332;82;276;193;349;155;204;154;64;27;32;47;15.0;43;24;9.0;75.0;18;9;9337.0
Amsterdam-G0363;;1563;116425;27711;64228;62194;14567;29931;12893;1517;324;1194;5386;3292;2095;1739;935;1543;1357;107;331;432.0;663;230;79.0;969.0;308;101;153914.0
Andijk-G0364;;16;749;1198;681;426;93;144;72;254;49;30;12;23;8;6;3;4;6;10;2;2.0;6;1;4.0;1.0;0;2;681.0
Angerlo-G0199;;7;861;948;471;460;73;62;35;8;6;3;13;23;2;3;2;2;2;1;2;0.0;0;3;1.0;;0;0;493.0
Anloo-G0105;;17;1960;403;1431;857;121;160;51;20;3;56;29;34;1;11;5;10;6;11;6;0.0;5;2;23.0;;1;1;921.0
Anna Paulowna-G0366;;25;1543;1611;2423;1087;239;138;138;58;18;62;12;69;26;27;13;9;8;15;10;1.0;1;4;1.0;6.0;1;4;1862.0
Apeldoorn-G0200;;184;21130;19240;18069;15523;2772;2639;1441;2201;2087;1180;543;728;190;375;228;106;70;135;99;70.0;50;67;14.0;;50;32;23956.0
Appingedam-G0003;;9;2927;1502;852;1073;325;134;102;110;12;142;97;52;24;8;16;19;53;11;7;0.0;2;2;9.0;;3;2;2195.0
Arcen en Velden-G0885;;16;979;2088;905;756;165;126;93;9;3;10;28;40;10;15;0;8;1;6;2;4.0;0;1;6.0;;1;3;1309.0
Arnemuiden-G0649;;9;429;433;371;212;32;22;132;494;574;26;6;14;18;10;3;2;1;2;3;;0;2;0.0;;1;0;593.0
Arnhem-G0202;;281;21342;11940;12753;14507;3138;4776;1590;731;155;688;1674;582;301;352;400;107;53;20;72;41.0;102;61;12.0;;68;18;25719.0
Assen-G0106;;58;10921;5098;5022;5117;668;1392;332;488;38;1933;421;158;66;65;97;11;40;42;20;21.0;29;19;39.0;;19;11;7040.0
Asten-G0743;;25;1629;3718;1703;1433;511;206;167;14;8;28;102;67;18;42;3;6;5;14;9;;2;6;2.0;1.0;11;2;1964.0
Avereest-G0143;;32;2013;3095;1578;1139;214;102;161;279;58;227;25;70;26;13;3;8;4;42;13;2.0;2;5;35.0;;7;1;1802.0
Axel-G0650;;37;1412;1418;1171;878;331;110;280;70;75;642;34;73;48;7;10;9;3;8;11;;2;4;3.0;;3;1;2241.0
Baarle-Nassau-G0744;;10;516;1320;616;413;208;60;92;9;6;5;12;17;12;9;2;4;3;5;8;5.0;1;4;2.0;2.0;1;1;1004.0
Baarn-G0308;;36;2848;2996;4649;2409;461;403;297;432;127;176;89;110;47;57;21;20;6;10;15;14.0;21;10;4.0;19.0;2;8;3429.0
Bakel en Milheeze-G0745;;11;645;1992;639;649;193;61;117;3;4;8;31;22;14;16;1;6;1;8;5;;0;0;9.0;2.0;2;1;1330.0
Barendrecht-G0489;;17;2079;3277;3420;2071;250;205;209;407;870;268;60;56;40;22;7;8;5;4;4;2.0;5;6;2.0;4.0;6;2;2623.0
Barneveld-G0203;;68;2537;8124;4722;2372;493;270;508;2319;4581;729;51;101;65;40;38;5;10;50;15;6.0;8;10;17.0;;5;4;3841.0
Bathmen-G0144;;11;802;821;1107;568;63;50;31;9;3;5;6;23;5;3;1;1;1;9;1;1.0;1;0;0.0;;1;0;461.0
Bedum-G0005;;7;1550;2222;669;884;154;147;46;101;19;835;35;25;7;22;3;7;5;6;0;0.0;3;0;4.0;;0;0;838.0
Beek-G0888;;55;2366;2954;1888;1595;548;297;265;13;5;42;71;92;42;74;17;7;2;7;14;9.0;9;3;5.0;;9;2;2761.0
Beek en Donk-G0746;;27;1167;1799;765;796;325;243;147;9;6;9;101;54;5;16;4;2;3;9;6;;0;3;4.0;1.0;7;4;1625.0
Beemster-G0370;;29;1154;1120;1754;684;175;103;71;24;2;9;18;30;11;25;4;14;1;8;3;4.0;8;3;5.0;7.0;1;1;842.0
Beesel-G0889;;35;1733;2249;1170;1018;342;173;375;18;10;14;34;93;19;33;10;4;4;3;13;8.0;0;2;1.0;;1;1;2374.0
Beilen-G0107;;20;3412;2157;1703;1005;167;198;74;119;23;232;38;23;13;11;8;16;4;35;6;5.0;1;1;120.0;;1;2;1818.0
Belfeld-G0890;;2;694;1025;516;417;72;42;83;0;3;1;17;33;8;10;3;9;0;1;1;1.0;3;2;0.0;;0;1;973.0
Bellingwedde-G0007;;46;2913;611;796;600;224;270;119;116;13;39;44;34;18;12;3;11;97;21;4;6.0;5;3;8.0;;2;2;1493.0
Bemmel-G0206;;35;2287;3276;1539;1886;263;157;175;17;11;19;27;60;17;15;16;6;3;6;4;2.0;2;2;5.0;;2;0;2564.0
Bennebroek-G0372;;14;494;1032;1271;462;108;84;34;20;4;23;9;24;4;17;0;6;0;1;2;2.0;1;1;0.0;1.0;1;0;635.0
Bergambacht-G0491;;14;1491;1038;1473;654;110;68;186;223;679;44;19;23;18;7;9;5;5;8;4;3.0;1;4;1.0;;3;0;816.0
Bergen-G0373;;13;1863;1740;3045;1581;300;387;109;31;3;26;18;68;17;71;6;43;3;7;4;8.0;7;25;0.0;3.0;2;2;1610.0
Bergen-G0893;;38;1709;2789;1128;910;287;107;148;5;3;16;35;64;20;25;4;4;3;18;8;10.0;6;1;2.0;;3;3;2506.0
Bergen op Zoom-G0748;;58;4972;5018;5582;4286;1761;747;1000;90;40;72;343;188;123;38;97;36;21;11;29;11.0;26;20;5.0;20.0;7;12;9539.0
Bergeyk-G0749;;13;1180;2471;1114;864;331;133;178;27;10;20;41;51;9;2;2;3;10;6;9;;0;0;0.0;4.0;5;0;1482.0
Bergh-G0207;;60;2898;3629;1580;1505;347;177;239;23;17;31;36;80;21;35;7;17;5;12;10;3.0;5;4;4.0;;4;2;3150.0
Bergschenhoek-G0492;;19;613;1459;1401;682;138;102;169;146;47;161;20;27;31;8;1;2;0;0;8;3.0;0;0;0.0;;1;0;999.0
Berkel en Rodenrijs-G0493;;26;1091;3151;2451;1550;240;168;190;96;55;761;45;42;24;25;6;14;1;1;13;5.0;2;3;2.0;;2;1;1392.0
Berkel-Enschot-G0751;;25;957;2387;1694;1107;250;142;89;19;9;16;30;49;14;9;4;5;3;1;6;0.0;1;3;2.0;7.0;1;3;1098.0
Berlicum-G0752;;9;1333;1710;944;779;211;107;104;7;10;6;139;34;14;22;2;5;2;5;7;;1;2;2.0;1.0;2;2;1197.0
Bernisse-G0568;;12;1481;1602;2314;1264;161;109;156;99;118;52;38;65;42;30;3;5;6;12;12;5.0;1;2;3.0;2.0;3;3;1887.0
Best-G0753;;46;2758;3668;2565;2442;828;241;378;53;25;91;159;96;39;55;19;15;4;6;10;;11;9;4.0;4.0;9;3;3212.0
Beuningen-G0209;;45;3234;3375;2490;2781;425;387;276;51;16;35;138;96;24;32;17;19;7;11;13;;9;17;9.0;;2;0;3661.0
Beverwijk-G0375;;76;5656;3782;4143;3490;1354;724;504;117;27;86;129;288;59;96;67;76;29;12;33;33.0;15;13;12.0;48.0;35;8;6011.0
Binnenmaas-G0585;;23;2634;2326;3371;1674;241;169;296;255;687;92;44;44;26;18;6;15;5;4;7;2.0;1;10;0.0;3.0;3;2;2507.0
