RegioNaam;@invalid;@blank;PvdA;VVD;CDA;D66;GL;SP;Reformatorische Politieke Federatie (RPF);SGP;Gereformeerd Politiek Verbond (GPV);Centrumdemocraten;AOV/Unie55+;Nederland Mobiel;Senioren 2000;Nederlandse Middenstands Partij;DG;Natuurwetpartij;Katholiek Politieke Partij;Vrije Indische Partij;Nieuw Solidair Ouderen Verbond;Nieuwe Communistische Partij;Idealisten/Jij;Het Kiezers Collectief;@abs
Aa en Hunze-G1680;;30;6424;4595;1312;1509;863;326;93;11;103;;105;61.0;54;50;20;32;2.0;3;;16.0;6;3.0;3640.0
Aalburg-G0738;;22;1029;1259;1478;195;166;117;708;1523;141;67.0;19;42.0;13;15;2;3;0.0;2;3.0;0.0;2;0.0;1529.0
Aalsmeer-G0358;;11;2866;5040;2630;1235;612;176;365;69;127;77.0;44;98.0;61;69;17;17;12.0;4;;3.0;5;2.0;3777.0
Aalten-G0197;;24;2769;1573;4753;541;555;196;467;18;56;37.0;25;45.0;26;28;6;12;4.0;3;9.0;2.0;2;3.0;2686.0
Abcoude-G0305;;8;1032;1957;987;742;319;77;73;39;50;25.0;13;42.0;20;15;16;6;2.0;0;4.0;0.0;0;4.0;844.0
Achtkarspelen-G0059;;33;4924;1558;5999;604;747;488;746;136;823;110.0;36;;16;63;11;21;;0;;12.0;3;;4767.0
Akersloot-G0360;;3;795;943;584;288;179;64;16;3;5;16.0;14;22.0;16;8;7;6;3.0;1;;2.0;2;0.0;644.0
Alblasserdam-G0482;;9;3397;1849;1463;507;371;259;639;1197;144;56.0;27;47.0;34;19;8;12;2.0;20;5.0;7.0;0;0.0;3093.0
Albrandswaard-G0613;;27;2221;3227;1540;819;420;197;127;150;126;48.0;37;68.0;22;21;8;18;14.0;4;5.0;2.0;4;2.0;2816.0
Alkemade-G0483;;10;1837;2740;2239;571;531;171;25;8;15;59.0;34;54.0;42;48;16;8;9.0;2;;0.0;0;0.0;2257.0
Alkmaar-G0361;;67;15782;11822;6106;5426;5774;2570;439;53;290;326.0;227;325.0;244;138;160;159;63.0;48;;38.0;21;15.0;18513.0
Almelo-G0141;;37;12985;7069;6949;2402;2297;1194;590;89;383;234.0;313;159.0;131;63;58;43;42.0;91;;31.0;5;8.0;13182.0
Almere-G0034;;70;18326;21345;4136;6783;4922;1821;594;85;491;410.0;413;676.0;414;186;92;199;38.0;56;;32.0;13;;26671.0
Alphen aan den Rijn-G0484;;48;9423;11194;6094;4166;2539;1303;1299;496;419;215.0;112;407.0;118;111;47;42;16.0;19;;10.0;8;11.0;12483.0
Alphen-Chaam-G1723;;16;1342;1582;1769;363;286;127;13;6;3;52.0;23;30.0;16;43;4;5;12.0;1;14.0;0.0;0;0.0;1358.0
Ambt Delden-G0142;;10;457;629;2120;110;68;48;3;1;10;26.0;12;4.0;5;11;2;2;3.0;2;;0.0;0;0.0;463.0
Ambt Montfort-G1679;;17;2123;1282;1531;387;446;161;9;4;3;87.0;59;24.0;21;21;9;50;17.0;3;7.0;4.0;0;1.0;2316.0
Ameland-G0060;;0;819;714;797;185;151;39;19;3;19;10.0;1;;7;17;8;6;;1;;0.0;1;;
Amerongen-G0306;;6;957;1224;877;324;210;73;211;390;47;26.0;19;49.0;11;16;6;0;3.0;0;1.0;2.0;1;0.0;1055.0
Amersfoort-G0307;;70;16964;16673;9425;7642;6314;1620;1336;694;2717;261.0;213;423.0;248;157;112;104;51.0;97;59.0;63.0;32;10.0;23897.0
Ammerzoden-G0198;;20;685;711;805;157;105;61;40;43;10;;14;9.0;16;14;1;1;1.0;1;;2.0;0;0.0;726.0
Amstelveen-G0362;;54;10767;17004;5708;6271;3815;798;415;72;223;166.0;312;342.0;237;149;90;104;46.0;53;;13.0;14;9.0;12284.0
Amsterdam-G0363;;1762;107065;73757;20214;47612;49731;14890;1671;319;943;3140.0;2239;2509.0;2056;772;2681;770;312.0;471;;490.0;211;101.0;184658.0
Andijk-G0364;;3;895;838;959;219;226;93;271;52;22;23.0;20;37.0;14;15;7;4;1.0;0;;1.0;2;0.0;946.0
Angerlo-G0199;;4;1030;613;773;227;147;57;7;1;6;10.0;12;7.0;9;19;5;2;1.0;0;0.0;0.0;2;0.0;698.0
Anna Paulowna-G0366;;11;1887;2797;1429;592;346;134;53;15;58;37.0;26;70.0;28;53;10;12;9.0;2;;2.0;0;3.0;2431.0
Apeldoorn-G0200;;104;25507;22298;15327;7974;5735;2031;2513;2108;1021;362.0;520;358.0;272;228;130;202;57.0;133;104.0;62.0;15;8.0;29717.0
Appingedam-G0003;;4;3076;1044;1280;422;307;258;126;8;149;40.0;64;17.0;49;12;6;3;2.0;12;;18.0;1;;2816.0
Arcen en Velden-G0885;;12;1435;1234;1587;340;294;94;5;2;7;38.0;25;16.0;24;6;7;7;11.0;1;4.0;0.0;1;0.0;1488.0
Arnhem-G0202;;188;22887;15469;8458;8012;8198;3894;716;109;581;374.0;387;249.0;257;117;197;106;62.0;99;98.0;26.0;130;12.0;33992.0
Assen-G0106;;27;11829;6178;4449;3113;2501;1105;561;47;2075;;130;125.0;91;71;37;43;9.0;52;;34.0;7;5.0;9474.0
Asten-G0743;;29;2558;2072;2883;616;585;265;10;2;7;42.0;51;54.0;15;38;13;32;13.0;2;25.0;;0;3.0;2477.0
Avereest-G0143;;16;2582;1846;2754;446;326;114;271;69;231;58.0;24;52.0;17;28;11;8;11.0;10;;2.0;3;0.0;2453.0
Axel-G0650;;15;1861;1389;1276;349;321;137;95;66;618;79.0;28;39.0;13;19;2;4;6.0;0;10.0;3.0;1;;2541.0
Baarle-Nassau-G0744;;0;766;710;1293;174;128;84;9;1;1;23.0;12;13.0;13;14;7;3;9.0;0;2.0;2.0;2;0.0;1134.0
Baarn-G0308;;11;3288;4744;2167;1595;1009;372;468;110;143;82.0;48;93.0;35;50;27;21;20.0;12;7.0;3.0;2;3.0;4157.0
Barendrecht-G0489;;25;3152;4563;2747;1383;680;281;547;937;253;61.0;47;55.0;36;46;22;18;1.0;9;13.0;3.0;16;1.0;3632.0
Barneveld-G0203;;16;3501;5514;7082;995;695;271;2805;4869;741;94.0;33;124.0;50;246;16;13;8.0;10;9.0;7.0;3;2.0;5719.0
Bathmen-G0144;;10;966;1266;626;355;155;36;3;3;6;8.0;8;13.0;10;11;2;5;0.0;0;;0.0;1;1.0;586.0
Bedum-G0005;;20;1744;799;2054;504;309;140;132;37;802;10.0;29;23.0;11;9;19;9;3.0;4;;2.0;2;;1191.0
Beek-G0888;;12;2694;2374;2242;802;758;317;15;2;10;73.0;108;27.0;38;9;16;26;11.0;9;16.0;4.0;0;4.0;3644.0
Beemster-G0370;;12;1344;1851;811;493;277;93;24;2;6;20.0;26;41.0;23;28;13;5;6.0;8;;2.0;0;0.0;1204.0
Beesel-G0889;;7;2143;1596;1704;388;453;127;13;5;11;202.0;42;24.0;41;16;7;18;14.0;8;12.0;4.0;0;4.0;3033.0
Belfeld-G0890;;7;817;657;682;203;175;72;5;0;1;51.0;18;7.0;6;11;6;4;2.0;0;1.0;1.0;2;0.0;1325.0
Bellingwedde-G0007;;27;2743;976;513;347;452;243;104;11;26;49.0;42;17.0;30;25;13;8;1.0;0;;49.0;3;;1845.0
Bemmel-G0206;;14;3222;2168;2303;767;481;210;18;4;16;42.0;27;33.0;23;20;15;12;6.0;5;11.0;0.0;2;0.0;3569.0
Bennebroek-G0372;;7;612;1329;766;354;165;43;27;7;16;9.0;4;15.0;5;7;3;7;7.0;1;;1.0;0;2.0;673.0
Bergambacht-G0491;;10;1766;1520;798;434;149;96;332;648;50;23.0;15;23.0;16;13;9;3;1.0;0;;1.0;0;1.0;936.0
Bergen-G0893;;8;2201;1432;2121;352;364;156;4;0;13;59.0;37;33.0;27;31;16;12;9.0;4;8.0;0.0;0;0.0;3175.0
Bergen-G0373;;15;2004;3158;1185;1220;838;181;35;4;16;53.0;35;37.0;33;26;25;33;13.0;2;;1.0;3;1.0;1818.0
Bergen op Zoom-G0748;;47;8828;9596;4877;2787;2389;1256;146;34;68;347.0;91;498.0;274;76;41;39;28.0;35;53.0;16.0;9;7.0;15657.0
Bergeyk-G0749;;8;2765;2239;3387;597;602;265;25;4;11;49.0;38;64.0;54;38;10;11;18.0;4;11.0;;2;0.0;3202.0
Bergh-G0207;;13;3453;2212;2906;561;425;165;31;8;11;64.0;33;39.0;45;44;23;17;17.0;6;5.0;1.0;1;1.0;4142.0
Bergschenhoek-G0492;;5;1085;2093;1335;525;222;101;200;53;159;33.0;27;52.0;18;19;5;4;3.0;2;;1.0;1;1.0;1510.0
Berkel en Rodenrijs-G0493;;6;1694;2871;2526;815;406;140;120;53;746;46.0;53;60.0;33;40;16;14;9.0;2;;0.0;3;0.0;2154.0
Bernheze-G1721;;18;3958;2891;5339;984;657;1472;13;5;12;76.0;42;49.0;39;65;13;20;17.0;5;21.0;;0;1.0;5359.0
Bernisse-G0568;;9;1889;2453;1334;687;299;139;101;108;44;34.0;31;92.0;20;20;4;7;0.0;3;6.0;1.0;0;0.0;2390.0
Best-G0753;;33;4220;3818;2696;1293;731;412;56;6;127;137.0;68;78.0;42;27;16;34;14.0;9;57.0;;1;5.0;4532.0
Beuningen-G0209;;37;4290;3385;2398;1183;865;400;47;2;44;;79;48.0;62;36;22;15;15.0;19;;2.0;1;0.0;4965.0
Beverwijk-G0375;;13;6703;4935;2952;1500;1688;660;115;15;53;141.0;121;395.0;140;43;37;24;27.0;16;;11.0;10;11.0;7614.0
Binnenmaas-G0585;;13;3088;3741;1900;1025;488;244;256;681;92;60.0;37;103.0;35;28;12;22;2.0;3;6.0;1.0;2;2.0;2977.0
Bladel-G1728;;34;3077;2264;3239;656;681;341;14;9;18;54.0;45;50.0;47;32;10;33;26.0;2;28.0;;3;2.0;3677.0
Blaricum-G0376;;3;1337;2668;768;846;330;108;54;13;18;25.0;14;19.0;27;36;11;19;6.0;4;;1.0;1;1.0;1253.0
Bleiswijk-G0495;;2;1003;1980;1349;459;201;74;266;102;76;21.0;27;34.0;19;21;5;7;5.0;3;;2.0;1;0.0;1256.0
Bloemendaal-G0377;;10;1748;5033;1615;1549;604;101;67;13;69;24.0;25;34.0;20;21;17;14;18.0;3;;2.0;1;4.0;1812.0
Boarnsterhim-G0055;;14;4724;2361;1779;1131;696;292;73;25;37;39.0;22;;15;42;15;13;;8;;9.0;3;;2504.0
Bodegraven-G0497;;9;2290;2753;2638;845;478;201;651;572;165;55.0;41;52.0;17;46;16;9;7.0;1;;3.0;2;0.0;2913.0
Boekel-G0755;;17;1426;903;2059;251;213;215;9;3;4;39.0;21;33.0;22;26;0;4;9.0;1;18.0;;4;1.0;1585.0
Bolsward-G0064;;15;1807;785;1754;349;430;205;109;14;40;8.0;8;;12;17;2;10;;3;;4.0;0;;1680.0
Borculo-G0211;;7;2279;1805;1257;424;273;116;37;3;24;31.0;16;20.0;17;30;5;4;6.0;1;5.0;2.0;0;0.0;1535.0
Borger-Odoorn-G1681;;11;6540;3364;2386;1130;722;410;373;6;164;;76;80.0;26;52;22;20;6.0;3;;17.0;3;10.0;4640.0
Born-G0897;;12;2595;1702;2029;565;575;248;14;3;10;55.0;156;45.0;30;15;16;32;23.0;7;10.0;6.0;0;1.0;3049.0
Borne-G0147;;15;3885;2916;4273;1000;660;290;89;7;50;56.0;61;65.0;28;34;10;27;12.0;2;;2.0;1;8.0;3160.0
Borsele-G0654;;12;2857;2561;2617;720;522;262;311;1604;153;59.0;66;98.0;20;46;13;31;14.0;3;13.0;0.0;2;;3996.0
Boskoop-G0499;;10;1730;2699;1975;711;530;172;390;293;85;49.0;35;54.0;14;44;13;10;3.0;2;;4.0;1;0.0;2094.0
Boxmeer-G0756;;23;4922;3499;4811;1115;975;1098;36;6;9;105.0;51;57.0;51;49;24;28;23.0;7;18.0;;3;13.0;4456.0
Boxtel-G0757;;25;4730;3229;3262;1489;1014;848;23;4;23;102.0;50;50.0;44;44;15;36;29.0;14;17.0;;3;4.0;6885.0
Brakel-G0212;;16;1083;594;786;129;113;74;319;938;59;;10;3.0;19;9;7;2;0.0;0;;1.0;0;0.0;1012.0
Breda-G0758;;94;23323;22335;13092;9376;7276;3548;348;72;179;580.0;473;234.0;355;218;165;165;109.0;111;89.0;48.0;18;21.0;38820.0
Brederwiede-G0194;;18;2165;1435;2210;449;263;93;189;43;610;36.0;28;33.0;44;22;9;7;3.0;3;;1.0;1;1.0;1672.0
Breukelen-G0311;;27;1649;2529;1733;889;521;119;368;482;69;27.0;35;69.0;82;18;7;10;8.0;2;10.0;1.0;4;0.0;1969.0
