RegioNaam;@invalid;@blank;CDA;LPF;VVD;PvdA;GL;SP;D66;CU;SGP;LN;Verenigde Senioren Partij;Vrije Indische Partij & OuderenUnie;Duurzaam Nederland;Partij van de Toekomst;Nieuwe Midden Partij;Republikeinse Volkspartij;@abs
Aa en Hunze-G1680;;13;2606;1893;3946;4411;1138;757;938;157;26;246;62;13.0;5;6.0;2.0;;3226.0
Aalburg-G0738;;3;2541;1067;656;416;138;215;116;655;1574;81;7;4.0;0;9.0;2.0;;1174.0
Aalsmeer-G0358;;15;4590;2774;3106;1486;593;537;765;361;62;303;98;;8;17.0;4.0;;2561.0
Aalten-G0197;;12;5922;1119;1088;1417;607;469;400;398;30;136;39;6.0;3;9.0;1.0;;2266.0
Abcoude-G0305;;5;1564;845;1318;625;334;264;410;80;42;79;14;1.0;1;3.0;;;595.0
Achtkarspelen-G0059;;15;7188;2160;1190;3025;625;704;360;1363;213;225;30;;7;23.0;2.0;;4213.0
Alblasserdam-G0482;;11;2837;1929;1155;1853;327;498;309;711;1324;145;36;15.0;4;1.0;0.0;;2275.0
Albrandswaard-G0613;;16;2988;3188;2192;1228;359;444;498;202;143;248;43;7.0;5;4.0;3.0;;2192.0
Alkemade-G0483;;5;3738;1558;1637;853;445;351;403;25;14;177;18;2.0;2;11.0;5.0;;1489.0
Alkmaar-G0361;;81;11079;8557;8284;10041;5736;4850;3592;676;57;1310;304;74.0;66;;27.0;;14458.0
Almelo-G0141;;42;12259;6081;5015;7994;2557;2118;1652;1050;132;611;200;105.0;50;25.0;3.0;;12635.0
Almere-G0034;;95;13538;19340;16279;13230;6830;4659;5081;1577;98;2374;575;118.0;58;;38.0;;25874.0
Alphen aan den Rijn-G0484;;81;11436;7013;8220;4912;2854;2211;2587;1427;512;689;114;37.0;32;31.0;9.0;;10830.0
Alphen-Chaam-G1723;;0;2676;1014;1069;491;260;269;255;13;2;71;23;2.0;3;6.0;2.0;;922.0
