RegioNaam;@invalid;@blank;CDA;PvdA;VVD;SP;LPF;GL;D66;CU;SGP;PvdD;LN;Partij van de Toekomst;Lijst Ratelband;Duurzaam Nederland;Nieuwe Communistische Partij;De Conservatieven.nl;VIP Vooruitstrevende Integratie Partij;Alliantie Vernieuwing en Democratie;Lijst Veldhoen;@abs
Aa en Hunze-G1680;;18;2490;6953;4108;788;642;774;708;142;10;68.0;53;17;16;1.0;2;5.0;;;;2666
Aalburg-G0738;;6;3118;857;802;233;352;89;76;510;1466;32.0;23;16;5;0.0;1;1.0;0.0;1.0;;1097
Aalsmeer-G0358;;14;5138;2548;3934;536;861;511;638;269;53;61.0;64;19;13;1.0;4;7.0;;0.0;;2627
Aalten-G0197;;5;5935;2545;1249;600;365;448;291;331;24;42.0;25;14;11;11.0;2;4.0;;1.0;;1993
Abcoude-G0305;;4;1637;1076;1574;228;244;283;437;77;47;16.0;11;3;4;1.0;2;3.0;1.0;0.0;;554
Achtkarspelen-G0059;;12;7411;5535;1283;750;640;448;225;1235;144;50.0;85;26;11;0.0;3;;;0.0;;3524
Alblasserdam-G0482;;9;2967;3170;1473;482;661;239;226;608;1266;45.0;31;15;12;8.0;9;2.0;2.0;2.0;2.0;2207
Albrandswaard-G0613;;20;3171;2398;3123;470;1360;309;491;181;120;74.0;60;12;15;2.0;6;6.0;0.0;0.0;1.0;2011
Alkemade-G0483;;2;3971;1507;1981;376;575;364;341;27;14;33.0;48;23;14;2.0;1;2.0;2.0;2.0;;1463
Alkmaar-G0361;;75;10902;17845;9489;4697;2977;4332;2754;572;43;334.0;287;84;65;137.0;38;;;14.0;;14883
Almelo-G0141;;38;12044;14319;5945;2448;1826;1636;1282;942;112;;166;79;34;;22;16.0;;;;11780
Almere-G0034;;95;13459;26133;21145;5334;7259;4804;4409;1255;90;541.0;518;122;125;54.0;55;;;15.0;;26736
Alphen aan den Rijn-G0484;;73;11830;9597;9699;2388;2424;2192;2046;1177;476;224.0;168;68;37;12.0;16;14.0;8.0;4.0;;10542
Alphen-Chaam-G1723;;1;2884;938;1239;298;322;188;162;8;1;22.0;12;14;5;0.0;0;2.0;0.0;2.0;;954
Ambt Montfort-G1679;;3;2926;1647;890;347;331;242;154;9;0;53.0;26;15;8;3.0;2;3.0;;;;1913
Ameland-G0060;;0;982;573;448;113;116;92;60;15;1;8.0;19;5;3;0.0;1;;;0.0;;216
Amerongen-G0306;;4;1531;867;919;176;239;156;188;153;403;24.0;13;12;4;0.0;2;3.0;0.0;0.0;;720
Amersfoort-G0307;;70;18581;20792;14969;5484;3080;5561;4034;3418;606;315.0;273;80;41;45.0;36;19.0;10.0;9.0;;17340
Amstelveen-G0362;;44;11065;11645;13550;2498;2311;2816;3482;411;72;277.0;146;47;37;21.0;14;21.0;;4.0;;9064
Amsterdam-G0363;;1788;36352;143188;58528;37127;21658;41289;26439;2670;237;3211.0;1146;553;490;1012.0;460;138.0;218.0;59.0;;147799
Andijk-G0364;;1;1456;753;708;236;267;158;107;193;45;21.0;20;6;3;0.0;1;;;1.0;;736
Angerlo-G0199;;9;1196;885;614;181;131;113;106;6;1;12.0;16;8;2;0.0;0;0.0;;0.0;;503
Anna Paulowna-G0366;;4;2657;1901;2338;356;548;270;265;88;8;54.0;61;14;5;3.0;2;;;1.0;;1757
Apeldoorn-G0200;;60;27009;27715;17924;4810;4191;4664;3800;2417;2303;477.0;413;111;57;30.0;31;28.0;;8.0;;22605
