RegioNaam;@invalid;@blank;CDA;PvdA;SP;VVD;PVV;GL;CU;D66;PvdD;SGP;ETnNL;Fortuyn;Verenigde Senioren Partij;Ad Bos Collectief;Partij voor Nederland;Lijst Potmis;Nederland Transparant;Groen Vrij Internet Partij;Liberaal Democratische Partij;Lijst Poortman;Continue Directe Democratie Partij;LRVP - het Zeteltje;Solide Multiculturele Partij;Tamara's Open Partij;@abs
Aa en Hunze-G1680;;23;2590;5745;2605;3617;594;822;372;266;255;20;67;34;;;14.0;;2;;2.0;4.0;;;;;2805
Aalburg-G0738;;5;2765;637;582;699;411;59;887;29;94;1489;33;11;5.0;2.0;;1.0;1;0.0;0.0;0.0;1.0;;;;1225
Aalsmeer-G0358;;23;5397;2230;1420;3622;938;480;663;241;283;57;89;32;37.0;8.0;7.0;;1;5.0;0.0;1.0;0.0;;;1.0;2980
Aalten-G0197;;13;6946;2899;3036;1624;542;421;956;154;194;29;52;13;15.0;2.0;8.0;3.0;4;3.0;4.0;1.0;;;;;3646
Abcoude-G0305;;5;1701;808;489;1403;190;374;166;193;102;32;23;5;5.0;1.0;5.0;0.0;0;;0.0;0.0;1.0;;;;714
Achtkarspelen-G0059;;14;6119;4522;2651;1073;536;332;1953;52;162;134;44;13;6.0;4.0;7.0;;2;5.0;;4.0;;;;;3880
Alblasserdam-G0482;;11;2634;2338;1529;1074;669;201;1101;182;132;1389;101;36;10.0;5.0;9.0;2.0;1;;0.0;0.0;0.0;;;;2203
Albrandswaard-G0613;;17;3640;2080;1634;2917;1312;353;503;226;268;150;313;48;9.0;9.0;4.0;3.0;5;;1.0;1.0;0.0;;;;2665
Alkemade-G0483;;8;4059;1221;1056;1875;484;307;108;111;129;10;61;37;;4.0;0.0;4.0;3;;2.0;0.0;1.0;;;;1429
Alkmaar-G0361;;80;11008;13433;12487;7939;3220;3952;1350;1346;1262;59;364;123;87.0;41.0;33.0;;21;93.0;22.0;19.0;4.0;;;;14249
Almelo-G0141;;30;10678;10692;7211;4690;2293;1313;1801;1154;478;89;146;60;69.0;17.0;20.0;;5;32.0;11.0;;3.0;;;;12392
Almere-G0034;;192;16448;24240;16491;17371;8075;4220;2650;1651;2340;100;660;290;264.0;77.0;55.0;;31;68.0;20.0;26.0;5.0;;;;29132
Alphen aan den Rijn-G0484;;88;11909;7605;6179;7659;2251;1811;2237;829;741;439;261;83;;27.0;31.0;20.0;6;;13.0;11.0;2.0;;;;10703
Alphen-Chaam-G1723;;1;2808;708;762;1015;322;134;47;63;73;0;18;13;12.0;6.0;;1.0;8;0.0;2.0;3.0;0.0;;;;1183
Ambt Montfort-G1679;;8;2411;1193;1217;703;1061;194;63;37;115;6;26;14;15.0;14.0;11.0;;0;;;1.0;;;;;1531
Ameland-G0060;;0;991;491;255;419;86;90;46;24;30;4;3;3;3.0;0.0;0.0;;0;1.0;;0.0;;;;;168
Amersfoort-G0307;;122;19514;16987;12543;12729;3714;5476;5760;2149;1557;617;390;135;89.0;61.0;23.0;110.0;13;;25.0;15.0;4.0;;;;18172
Amstelveen-G0362;;70;11094;9601;5539;11280;2122;3029;1216;1499;1394;75;275;67;140.0;41.0;23.0;;10;19.0;20.0;24.0;1.0;;;5.0;9496
Amsterdam-G0363;;2624;37498;117818;72249;54533;17456;48857;6010;17507;13547;324;2344;660;665.0;220.0;245.0;;92;256.0;184.0;233.0;57.0;185.0;132.0;;135618
Andijk-G0364;;8;1375;597;577;681;219;132;312;36;108;46;35;15;10.0;3.0;1.0;;0;1.0;0.0;1.0;0.0;;;;758
Anna Paulowna-G0366;;10;2687;1412;1273;1845;490;241;195;100;146;18;51;28;19.0;5.0;5.0;;10;4.0;2.0;1.0;3.0;;;;1941
Apeldoorn-G0200;;115;24543;21398;15560;14693;4621;4022;5133;2115;2085;2364;413;180;111.0;40.0;43.0;42.0;37;35.0;17.0;18.0;;;;;21437
Appingedam-G0003;;14;1384;2839;1620;691;255;235;401;106;89;13;17;19;7.0;6.0;4.0;;3;;2.0;0.0;;;;;1929
Arcen en Velden-G0885;;8;2319;741;813;617;640;126;40;39;53;0;13;8;11.0;2.0;3.0;;3;;;2.0;;;;;1230
Arnhem-G0202;;162;14071;20686;18111;10134;3752;6121;2268;2580;1884;97;337;107;90.0;21.0;37.0;280.0;14;35.0;23.0;26.0;;;;;27042
Assen-G0106;;45;6721;12126;7265;4789;1293;1881;3645;606;593;141;140;79;;;13.0;;8;;6.0;2.0;;;;;8433
Asten-G0743;;13;4705;1327;1737;1301;590;215;86;104;96;7;57;23;13.0;;4.0;;1;;1.0;0.0;0.0;;;;2077
Baarle-Nassau-G0744;;2;1820;531;606;535;252;101;35;36;70;0;22;8;2.0;0.0;;0.0;2;0.0;0.0;0.0;0.0;;;;1177
Baarn-G0308;;35;4245;2619;1920;3246;768;848;734;420;420;103;70;34;22.0;6.0;6.0;1.0;1;;4.0;3.0;0.0;;;;2894
Barendrecht-G0489;;35;7289;3984;3093;4935;2189;758;1281;405;476;1059;548;75;19.0;14.0;18.0;13.0;2;;5.0;0.0;0.0;;;;5034
Barneveld-G0203;;22;12400;2275;1896;3328;1210;367;3818;241;241;5547;103;37;12.0;9.0;18.0;6.0;6;5.0;8.0;4.0;;;;;4471
Bedum-G0005;;8;2174;1560;933;538;160;306;975;76;71;55;17;7;5.0;5.0;4.0;;1;;0.0;0.0;;;;;1029
Beek-G0888;;11;3124;2042;1929;1282;1374;385;121;126;144;4;30;26;23.0;9.0;15.0;;1;;;1.0;;;;;2432
Beemster-G0370;;13;1607;928;737;1388;286;238;57;92;134;6;25;13;9.0;0.0;0.0;;3;4.0;0.0;1.0;0.0;;;;909
Beesel-G0889;;9;2384;1492;1349;862;1305;191;84;52;99;11;31;15;13.0;14.0;5.0;;2;;;2.0;;;;;2427
Bellingwedde-G0007;;2;830;2354;1303;660;277;213;179;44;153;13;17;14;11.0;11.0;5.0;;0;;0.0;2.0;;;;;1399
Bennebroek-G0372;;7;1171;493;305;957;99;169;83;74;92;4;19;3;2.0;3.0;2.0;;0;2.0;1.0;2.0;0.0;;;0.0;503
Bergambacht-G0491;;7;1690;1150;554;998;295;124;446;61;105;655;45;20;;4.0;4.0;1.0;1;;1.0;0.0;0.0;;;;865
