RegioNaam;@invalid;@blank;VVD;PvdA;PVV;CDA;SP;D66;GL;CU;SGP;PvdD;TROTS op Nederland Lijst Rita Verdonk;Partij voor Mens en Spirit (MenS);PPNL;Lijst 17;Partij TTn;Nieuw Nederland;Heel NL;Evangelische Partij Nederland;@abs
Aa en Hunze-G1680;11;13;4057;4744;1608;1259;1491;1040;1159;254;19;201;64;46;14;5;5;7;0.0;;4156.0
Aalburg-G0738;9;3;1136;491;1224;1553;423;162;152;820;1575;60;33;10;2;4;0;3;0.0;;1635.0
Aalsmeer-G0358;42;21;6024;2170;2499;2738;967;1169;807;613;81;212;105;28;12;14;1;6;;;4134.0
Aalten-G0197;13;13;2478;2700;1868;4329;2193;704;725;754;53;149;74;39;1;15;2;9;3.0;5.0;4614.0
Abcoude-G0305;2;4;1789;937;498;718;241;580;420;105;35;56;20;11;7;4;1;0;2.0;;821.0
Achtkarspelen-G0059;24;7;1577;3257;2290;4185;1559;367;511;1700;180;132;49;28;7;8;1;3;;13.0;5657.0
Alblasserdam-G0482;20;8;1733;1929;1557;1381;827;396;372;1041;1511;102;43;15;5;5;2;0;0.0;;2982.0
Albrandswaard-G0613;23;13;4193;1838;2909;1662;1206;879;624;366;175;209;88;26;7;12;3;3;2.0;;4161.0
Alkmaar-G0361;77;73;10172;13400;6993;4605;6250;4451;5321;782;56;1011;402;229;69;50;13;17;14.0;9.0;17636.0
Almelo-G0141;84;40;6306;8379;7001;5441;3984;2128;1759;1269;97;336;261;117;53;14;9;8;5.0;;16645.0
Almere-G0034;207;103;24377;22295;16641;4850;8857;5990;6120;1947;118;1505;770;296;158;81;32;19;;78.0;38048.0
Alphen aan den Rijn-G0484;76;47;10889;7198;5773;5165;3588;3286;2749;1752;472;546;245;105;38;42;10;15;7.0;;13970.0
Alphen-Chaam-G1723;11;6;1521;649;896;1612;531;312;240;27;3;56;51;16;4;8;0;1;1.0;;1351.0
Ameland-G0060;4;2;600;581;371;724;178;152;196;54;12;26;14;21;2;0;0;2;;0.0;
Amersfoort-G0307;103;81;18222;17167;9527;8384;6874;7518;7706;5016;704;1036;320;281;110;47;17;25;15.0;;22456.0
Amstelveen-G0362;71;31;12929;9637;5089;4200;2962;4890;3541;753;88;709;160;164;48;44;12;11;;;11738.0
Amsterdam-G0363;1648;462;64798;135816;36172;12705;27890;45613;48190;3405;274;6927;1067;917;603;226;189;93;;123.0;159502.0
Andijk-G0364;0;4;891;514;612;680;364;174;182;251;56;66;29;16;3;1;1;1;0.0;0.0;1065.0
Anna Paulowna-G0366;8;10;2587;1286;1328;1244;762;444;385;152;12;95;74;20;6;4;13;2;1.0;2.0;2365.0
Apeldoorn-G0200;181;71;18379;18737;11407;12125;8341;6605;5785;4103;2496;1271;424;297;87;62;18;28;40.0;19.0;31749.0
Appingedam-G0003;16;8;805;2152;960;891;918;272;334;296;16;89;26;16;3;2;0;0;;0.0;2763.0
Arnhem-G0202;157;81;13559;19393;10749;5862;9726;7399;8402;1626;128;1427;289;254;120;81;23;16;20.0;18.0;32394.0
Assen-G0106;45;35;6268;10702;3919;3753;4320;2301;2762;3142;192;449;147;114;48;30;11;9;6.0;;12274.0
Asten-G0743;13;9;2010;1216;1585;2530;1225;432;410;46;8;71;95;32;10;14;1;1;3.0;;2680.0
Baarle-Nassau-G0744;12;1;774;409;710;1011;409;160;152;26;1;56;30;18;2;4;0;0;0.0;;1460.0
Baarn-G0308;23;9;4115;2433;1888;1816;1016;1385;1110;544;109;232;58;37;20;6;3;5;5.0;;4008.0
Barendrecht-G0489;36;17;7442;3460;4822;3036;2065;1584;1432;1070;1112;370;143;57;34;15;2;6;4.0;;7240.0
Barneveld-G0203;37;12;5739;2166;3675;7477;1143;839;753;3431;6236;154;139;37;18;11;1;4;0.0;17.0;5815.0
Bedum-G0005;6;7;702;1517;520;1353;646;272;416;815;64;77;27;10;3;4;1;0;;4.0;1587.0
Beek-G0888;16;9;1670;1497;2905;1709;1166;505;496;47;3;151;77;29;12;6;1;3;3.0;;2905.0
Beemster-G0370;6;0;1778;919;749;708;412;375;314;41;1;71;38;9;6;3;1;0;0.0;0.0;1199.0
Beesel-G0889;12;6;1258;1114;2304;1300;897;338;303;28;5;91;51;20;13;2;0;1;0.0;;2946.0
Bellingwedde-G0007;2;2;817;1618;1031;391;876;180;303;124;18;105;22;21;1;10;1;0;;1.0;1886.0
Bergambacht-G0491;6;2;1437;929;728;865;390;294;193;452;711;72;26;7;5;2;1;0;2.0;;1149.0
Bergeijk-G1724;11;8;2112;1199;1853;3030;1281;461;372;65;4;99;109;27;9;9;6;1;3.0;;3142.0
Bergen-G0893;10;12;1151;829;1831;1659;1317;257;272;25;6;66;68;18;4;4;1;0;3.0;;2829.0
Bergen-G0373;20;13;5553;3690;2667;2447;1400;1612;1823;121;12;423;123;138;14;17;12;7;3.0;2.0;4261.0
Bergen op Zoom-G0748;81;25;7638;6438;7224;4350;3813;2329;2003;310;44;431;301;78;35;23;8;3;7.0;;14679.0
Berkelland-G1859;30;15;5939;5788;3150;5370;2858;1745;1391;373;34;243;152;94;16;25;6;7;5.0;0.0;7501.0
Bernheze-G1721;12;12;3434;2111;2354;4046;2713;935;649;67;1;137;111;46;14;16;2;1;0.0;;5652.0
Bernisse-G0568;15;7;2114;1065;1473;1099;680;338;296;256;80;115;57;17;10;7;0;1;0.0;;2254.0
Best-G0753;15;18;3822;2512;2706;2754;2048;1195;763;273;22;157;140;40;19;19;4;6;0.0;;4970.0
Beuningen-G0209;14;10;3270;2639;2631;2025;2095;926;844;106;14;130;91;25;7;21;2;1;4.0;;4575.0
Beverwijk-G0375;39;6;4376;4256;4175;2083;2274;1351;1607;183;26;325;165;64;32;16;7;8;;;8035.0
Binnenmaas-G0585;10;6;4405;2825;2877;2572;1440;823;796;734;1009;273;102;25;13;17;0;3;1.0;;4730.0
Bladel-G1728;13;10;2166;1314;1793;2727;1558;525;501;72;2;111;104;52;10;10;2;3;2.0;;3731.0
Blaricum-G0376;8;2;2294;798;619;689;343;567;320;51;11;81;23;25;4;6;1;1;;;1111.0
Bloemendaal-G0377;20;9;5528;2035;954;1695;532;1747;923;148;20;222;36;44;17;8;10;3;;;2469.0
Boarnsterhim-G0055;10;10;2414;3418;1004;1433;1341;796;855;192;22;80;41;44;5;9;2;5;;1.0;3019.0
Bodegraven-G0497;24;3;2660;1504;1544;2219;789;563;503;836;688;115;57;23;8;6;4;0;1.0;;2817.0
Boekel-G0755;5;5;1055;534;894;1545;878;252;190;23;3;56;51;10;6;7;1;1;1.0;;1722.0
Bolsward-G0064;10;0;762;1388;606;1393;785;277;325;185;24;64;25;18;3;4;1;1;;2.0;1725.0
Borger-Odoorn-G1681;25;8;3177;4421;2180;1881;1544;726;825;568;50;197;96;67;11;2;0;7;2.0;;4717.0
