RegioNaam;@invalid;@blank;VVD;PvdA;PVV;SP;CDA;D66;CU;GL;SGP;PvdD;50+;PPNL;Partij voor Mens en Spirit (MenS);SOPN;Partij van de Toekomst (PvdT);Democratisch Politiek Keerpunt DPK;Libertarische Partij (LP);Nederland Lokaal;Liberaal Democratische Partij (LibDem);Anti Europa Partij;Politieke Partij NXD;@abs
Aa en Hunze-G1680;21;16;4725;6063;990;1300;850;1170;232;344;46;290;207;29.0;40.0;20.0;7.0;19;4;3;2.0;1;;3994.0
Aalburg-G0738;23;7;1778;662;834;409;856;183;851;49;1757;102;104;9.0;2.0;4.0;4.0;4;2;1;0.0;0;;1833.0
Aalsmeer-G0358;35;25;8058;2646;1610;727;1495;1326;633;218;134;306;354;38.0;24.0;19.0;22.0;18;5;0;3.0;0;;4497.0
Aalten-G0197;21;17;3485;3728;1176;1918;3059;888;710;258;93;196;263;29.0;26.0;23.0;9.0;8;3;5;3.0;0;;4886.0
Achtkarspelen-G0059;33;22;2329;4622;1463;1351;2760;433;1811;133;272;165;144;32.0;17.0;17.0;13.0;10;14;3;1.0;2;;5811.0
Alblasserdam-G0482;20;10;2205;2406;1070;708;923;420;1016;101;1761;158;194;28.0;4.0;4.0;11.0;5;6;1;1.0;3;;2905.0
Albrandswaard-G0613;27;20;5293;2616;1931;922;1048;922;345;190;205;315;290;37.0;31.0;19.0;11.0;12;4;18;1.0;2;;4674.0
Alkmaar-G0361;99;142;12941;16567;4795;6181;2906;4749;687;1701;79;1497;1310;218.0;189.0;99.0;49.0;60;37;8;19.0;21;;17930.0
Almelo-G0141;102;70;8054;10744;4657;4161;3739;2131;1192;529;181;538;686;106.0;77.0;74.0;29.0;50;17;12;12.0;11;;17092.0
Almere-G0034;279;199;26928;27154;13132;9048;2576;6163;1749;1825;259;2258;2307;465.0;200.0;197.0;138.0;114;49;24;30.0;36;;42568.0
Alphen aan den Rijn-G0484;81;94;13639;9113;3852;3035;3231;3606;1658;860;607;820;776;159.0;71.0;66.0;45.0;32;17;7;10.0;9;;13112.0
Alphen-Chaam-G1723;12;7;2249;923;486;547;878;383;15;82;4;83;131;8.0;18.0;7.0;8.0;6;2;2;0.0;3;;1607.0
Ameland-G0060;0;3;932;803;192;237;484;215;65;71;14;47;45;10.0;11.0;4.0;1.0;1;0;2;0.0;1;;
Amersfoort-G0307;162;171;22517;21573;6174;6861;5481;8831;5128;3083;914;1703;1320;297.0;196.0;136.0;55.0;53;56;18;16.0;18;;23779.0
Amstelveen-G0362;100;80;16170;10779;3214;2969;2587;5814;643;1188;152;1094;992;171.0;91.0;40.0;38.0;22;31;5;12.0;9;;12457.0
Amsterdam-G0363;1738;999;75670;139820;23696;35899;8517;59005;3126;21079;539;12143;5241;2064.0;701.0;539.0;434.0;183;279;68;135.0;76;62.0;168454.0
Apeldoorn-G0200;156;124;24117;24302;7504;7803;7810;7407;3860;1969;2947;1773;1676;250.0;206.0;130.0;83.0;51;41;13;22.0;38;;29752.0
Appingedam-G0003;10;14;991;2670;615;870;633;277;281;84;18;99;110;20.0;5.0;18.0;1.0;4;0;4;1.0;6;;2896.0
Arnhem-G0202;197;154;15886;25574;7060;10342;3704;8510;1483;3231;225;2207;1273;329.0;226.0;112.0;72.0;47;39;11;22.0;13;;32845.0
Assen-G0106;61;54;7434;13737;2466;3924;2825;2614;3080;872;303;624;434;93.0;67.0;82.0;32.0;25;8;10;12.0;9;;12289.0
Asten-G0743;18;12;3262;1632;986;1260;1393;686;29;135;9;107;238;25.0;16.0;8.0;14.0;10;3;1;0.0;2;;2657.0
Baarle-Nassau-G0744;6;3;1271;580;448;394;560;206;26;54;4;71;116;11.0;4.0;4.0;5.0;2;0;0;1.0;1;;1510.0
Baarn-G0308;24;24;5154;2890;1127;866;1127;1570;537;427;168;314;254;52.0;29.0;21.0;8.0;8;15;1;2.0;5;;4304.0
Barendrecht-G0489;30;49;8910;5130;3378;1614;2055;1699;954;399;1241;559;558;56.0;36.0;28.0;10.0;19;10;7;4.0;4;;7860.0
Barneveld-G0203;47;25;9053;2723;2485;1169;4589;957;3488;240;7079;240;385;46.0;30.0;21.0;24.0;26;12;11;4.0;7;;6016.0
Bedum-G0005;7;9;1038;1887;316;600;1034;363;810;169;96;99;82;14.0;3.0;3.0;5.0;4;2;3;1.0;0;;1623.0
Beek-G0888;28;21;2417;2116;1763;1227;1032;687;35;150;6;165;232;33.0;20.0;19.0;7.0;8;5;0;1.0;0;;3223.0
Beemster-G0370;8;11;2413;1075;410;344;439;410;27;110;11;105;73;13.0;7.0;2.0;5.0;12;1;1;0.0;0;;1328.0
Beesel-G0889;16;13;1785;1570;1528;964;798;401;22;103;4;105;186;19.0;23.0;9.0;4.0;8;2;2;0.0;2;;3132.0
Bellingwedde-G0007;21;12;995;2116;625;801;243;216;142;75;29;152;76;12.0;16.0;6.0;8.0;0;6;19;1.0;0;;1796.0
