RegioNaam;@invalid;@blank;VVD;PVV;CDA;D66;GL;SP;PvdA;CU;PvdD;50+;SGP;DENK;FvD;VNL (VoorNederland);PPNL;Artikel 1;NIEUWE WEGEN;OndernemersPartij;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;JEZUS LEEFT;Vrijzinnige Partij;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);@abs
Aa en Hunze-G1680;27;18;4268;1681;1740;2163;1534;1937;1830;345;546;612;58;3;246;59;45.0;;25;82;22.0;;9.0;5.0;;3.0;2.0;;;;3222.0
Aalburg-G0738;19;11;1327;1229;1362;294;165;444;149;931;148;154;1954;7;100;49;12.0;0.0;5;12;2.0;7.0;2.0;1.0;12.0;1.0;0.0;;0.0;;1332.0
Aalsmeer-G0358;33;26;6764;2351;2392;2100;1116;915;828;798;505;655;129;115;476;110;60.0;23.0;28;40;11.0;11.0;10.0;5.0;;1.0;;;;;3166.0
Aalten-G0197;41;20;3324;1657;4255;1707;1137;2217;793;814;311;506;117;107;183;44;33.0;4.0;18;36;15.0;9.0;10.0;2.0;7.0;4.0;2.0;5.0;0.0;;3574.0
Achtkarspelen-G0059;28;13;2013;2872;4106;903;788;1948;1085;1767;282;487;277;5;348;44;29.0;;39;21;18.0;;11.0;3.0;;3.0;5.0;;;;4342.0
Alblasserdam-G0482;29;14;1907;1728;1467;797;618;915;684;1112;245;349;1955;210;212;51;28.0;3.0;15;5;9.0;2.0;4.0;1.0;28.0;1.0;1.0;;0.0;;2438.0
Albrandswaard-G0613;24;16;4499;2716;1761;1647;861;1018;742;443;430;563;204;156;473;86;46.0;32.0;19;21;14.0;10.0;7.0;7.0;8.0;4.0;4.0;;0.0;;3168.0
Alkmaar-G0361;203;86;15040;7236;5858;9455;8686;5821;4933;1077;3242;2245;139;1281;1344;379;329.0;138.0;124;109;91.0;50.0;53.0;56.0;;22.0;;;;12.0;14892.0
Almelo-G0141;159;74;7503;7520;6518;4049;2734;4595;2389;1378;886;1265;216;1855;688;147;130.0;18.0;49;49;25.0;31.0;11.0;17.0;;7.0;;;;;12223.0
Almere-G0034;469;236;22822;17134;7151;13311;10890;9527;6535;2859;4251;5029;274;3120;2522;657;668.0;2132.0;256;179;118.0;109.0;80.0;70.0;113.0;39.0;20.0;;;;33275.0
Alphen aan den Rijn-G0484;149;106;17829;7957;9099;8216;5420;4464;3213;3064;1965;1942;1900;1245;1526;324;268.0;76.0;137;84;;45.0;36.0;37.0;43.0;18.0;16.0;;2.0;;13362.0
Alphen-Chaam-G1723;12;9;2051;799;1425;671;329;614;183;44;154;219;13;13;104;27;21.0;0.0;48;11;5.0;2.0;4.0;1.0;3.0;2.0;2.0;;0.0;;1092.0
Ameland-G0060;2;4;715;265;613;261;173;174;240;54;69;75;8;0;80;5;8.0;;2;8;4.0;;0.0;1.0;;0.0;0.0;;;;54.0
