RegioNaam;@invalid;@blank;VVD;D66;PVV;CDA;SP;PvdA;GL;FvD;PvdD;CU;Volt;JA21;SGP;DENK;50+;BBB;BIJ1;CO;NIDA;Splinter;PPNL;JONG;ToN;LHK;NLBeter;Blanco;LP;OPRECHT;JEZUS LEEFT;DFP;UCF;VSN;PvdE;WZNL;PvdR;MN;DG;@abs
Aa en Hunze-G1680;32;25;4323;2679;1482;1429;1290;1880;835;691;746;411;311;328;58;11;171;467.0;35;41;5;60.0;28;18.0;24.0;9.0;11.0;26.0;4;9.0;3.0;;;;;;;2.0;;3477.0
Aalsmeer-G0358;23;35;6301;2742;2068;2114;636;794;561;950;591;743;344;702;114;165;180;74.0;81;56;36;63.0;42;26.0;39.0;25.0;14.0;;12;11.0;;12.0;2.0;5.0;;2.0;;;;3686.0
Aalten-G0197;18;16;3782;2045;1470;3241;1133;872;617;737;363;876;177;355;109;73;180;899.0;20;60;4;29.0;24;31.0;22.0;17.0;14.0;9.0;5;4.0;12.0;;1.0;;;;;;;4171.0
Achtkarspelen-G0059;20;27;2193;1071;2923;3047;1077;1117;365;1652;356;1603;123;273;351;7;85;418.0;19;67;4;28.0;16;28.0;43.0;10.0;8.0;;8;15.0;16.0;;;0.0;;;4.0;;2.0;4796.0
Alblasserdam-G0482;25;16;2115;1059;1330;1044;619;677;254;679;287;1084;78;332;2006;206;150;40.0;30;54;28;25.0;11;15.0;;9.0;4.0;5.0;1;7.0;11.0;;;;;1.0;;1.0;;2867.0
Albrandswaard-G0613;16;22;4578;2069;1991;1215;783;694;439;854;572;445;273;901;204;192;201;45.0;85;89;28;54.0;24;18.0;;16.0;12.0;16.0;7;4.0;10.0;;;;;2.0;;0.0;;3765.0
Alkmaar-G0361;170;132;14207;12290;6100;4630;4506;4413;4671;3979;3966;1019;1705;1669;164;1220;804;701.0;427;355;233;308.0;233;105.0;162.0;57.0;84.0;169.0;60;29.0;30.0;59.0;13.0;;;10.0;;;;16567.0
Almelo-G0141;125;61;8416;4501;6293;5184;2758;2379;1414;2685;1062;1296;545;882;225;1485;386;416.0;78;149;99;63.0;81;46.0;89.0;38.0;31.0;31.0;24;40.0;34.0;;3.0;;13.0;7.0;;;;14789.0
Almere-G0034;339;257;23803;15672;13011;5130;6899;5890;6086;7035;4831;2474;2249;2766;354;3740;1579;284.0;3658;574;873;426.0;432;237.0;;132.0;131.0;;74;80.0;102.0;;101.0;;42.0;;;;;43485.0
Alphen aan den Rijn-G0484;130;154;18259;10223;6648;7041;3404;2872;2785;3573;2372;3071;1364;2059;1738;1239;706;485.0;285;354;288;246.0;143;151.0;;52.0;74.0;111.0;42;60.0;26.0;;9.0;;;;;8.0;;15963.0
Alphen-Chaam-G1723;11;12;2251;861;693;1108;378;195;186;314;214;40;105;185;4;6;79;174.0;6;21;1;16.0;5;9.0;;8.0;7.0;4.0;2;1.0;3.0;9.0;1.0;;2.0;;;;;1254.0
Altena-G1959;30;33;7451;2510;4372;4841;1448;1091;627;2253;780;3424;311;818;4387;37;274;281.0;45;95;5;71.0;38;34.0;;27.0;27.0;12.0;10;13.0;48.0;22.0;0.0;;0.0;;;;;7903.0
Ameland-G0060;3;7;753;352;263;453;126;206;93;130;97;60;51;94;9;2;15;132.0;3;11;0;8.0;6;4.0;8.0;2.0;2.0;;0;1.0;0.0;;;2.0;;;0.0;;0.0;42.0
Amersfoort-G0307;191;148;19713;19471;6623;6830;4682;4942;7183;3522;4480;6127;3335;1813;860;3413;763;268.0;732;256;558;347.0;224;174.0;138.0;70.0;91.0;;53;43.0;40.0;45.0;22.0;28.0;;;;;;20896.0
Amstelveen-G0362;102;74;11937;9965;3453;3201;2217;3035;2866;1522;2175;944;1643;1048;161;537;448;66.0;662;122;148;127.0;129;68.0;36.0;36.0;37.0;;41;7.0;;24.0;23.0;20.0;;0.0;;;;11053.0
Amsterdam-G0363;2136;956;55445;99649;22180;10815;21478;32783;44907;11971;30880;6214;25988;5282;586;29384;2355;343.0;25563;864;5053;1278.0;1819;383.0;301.0;297.0;276.0;;391;106.0;247.0;;384.0;144.0;221.0;;151.0;;89.0;141258.0
Apeldoorn-G0200;173;178;23443;14798;10081;9084;5610;5852;4684;5452;3840;5325;1892;2280;3447;1784;1047;962.0;281;343;147;324.0;180;138.0;238.0;105.0;65.0;123.0;50;80.0;67.0;;8.0;;;;;;;26765.0
Arnhem-G0202;238;245;15338;17412;8450;4190;5677;5832;8234;4231;5753;2035;3193;1436;251;3232;754;220.0;1298;377;414;335.0;337;149.0;118.0;76.0;77.0;140.0;71;53.0;50.0;;18.0;;;;;;;32301.0
Assen-G0106;72;73;7842;6628;3725;3579;3446;3929;2324;2159;1546;3399;709;804;310;220;433;378.0;140;156;60;151.0;76;59.0;109.0;29.0;38.0;56.0;26;70.0;34.0;;;;;;;10.0;;11277.0
Asten-G0743;15;16;3159;1334;1186;1789;786;360;283;486;275;50;202;271;13;35;144;260.0;9;34;6;27.0;9;12.0;20.0;8.0;13.0;10.0;7;0.0;1.0;11.0;;;0.0;;;;;2073.0
Baarle-Nassau-G0744;19;3;1107;404;643;714;284;155;98;243;132;24;37;132;5;5;71;108.0;4;13;0;13.0;5;5.0;;3.0;7.0;5.0;0;1.0;0.0;8.0;1.0;;0.0;;;;;1137.0
Baarn-G0308;31;31;3994;2927;1302;1426;630;814;898;684;764;587;458;433;143;217;138;39.0;54;44;22;53.0;32;18.0;22.0;14.0;26.0;;19;7.0;4.0;8.0;6.0;2.0;;;;;;3508.0
Barendrecht-G0489;48;48;7638;4052;3496;2410;1378;1245;925;1582;827;1206;436;1418;1254;644;364;43.0;203;118;219;78.0;45;30.0;;23.0;29.0;25.0;10;7.0;13.0;;;;;6.0;;3.0;;6937.0
Barneveld-G0203;40;42;6863;2292;3011;5207;788;607;591;2185;499;4231;302;802;8675;351;187;497.0;48;96;33;40.0;38;41.0;42.0;17.0;13.0;19.0;11;42.0;40.0;;3.0;;;;;;;6065.0
Beek-G0888;20;24;2351;1382;1724;1340;701;757;371;677;392;74;135;192;5;52;166;63.0;10;38;9;20.0;19;18.0;26.0;10.0;8.0;7.0;6;5.0;;13.0;;;1.0;0.0;;;;2456.0
Beekdaelen-G1954;31;48;4965;2687;3922;2963;1753;1781;879;1574;888;160;326;453;36;33;280;186.0;38;66;7;67.0;45;36.0;53.0;58.0;14.0;34.0;11;8.0;;21.0;;;1.0;1.0;;;;5978.0
Beemster-G0370;11;8;2175;943;643;610;298;339;257;293;262;51;132;240;13;25;51;246.0;25;23;1;21.0;17;5.0;11.0;5.0;13.0;5.0;2;1.0;1.0;4.0;1.0;;;0.0;;;;1138.0
Beesel-G0889;10;15;1800;982;1443;910;580;513;276;452;203;46;98;179;8;93;147;91.0;8;27;17;19.0;7;22.0;32.0;19.0;4.0;11.0;6;5.0;;7.0;;;0.0;2.0;;;;2682.0
Berg en Dal-G1945;27;31;5438;3574;3024;2265;1793;1458;1393;802;1137;176;471;481;33;43;233;213.0;88;58;6;38.0;42;22.0;32.0;24.0;15.0;30.0;9;6.0;5.0;10.0;;;;;;;;5223.0
Bergeijk-G1724;21;17;3747;1348;1334;2004;737;453;369;505;332;81;223;292;25;5;174;243.0;10;34;6;31.0;14;27.0;19.0;27.0;14.0;6.0;2;7.0;1.0;12.0;;;0.0;;;;;2757.0
Bergen-G0373;34;45;5280;3814;1999;1828;962;1183;1073;932;1417;233;556;579;30;15;162;170.0;48;76;2;68.0;46;30.0;36.0;23.0;26.0;83.0;13;9.0;4.0;12.0;0.0;;;1.0;;;;3558.0
Bergen-G0893;21;21;1983;821;1475;1137;709;374;222;439;210;42;98;220;10;7;85;180.0;11;24;7;13.0;9;13.0;21.0;14.0;2.0;12.0;5;3.0;;11.0;;;0.0;1.0;;;;2403.0
Bergen op Zoom-G0748;74;39;10464;5120;5133;3079;2586;1924;1552;1915;1215;414;527;966;68;1721;508;149.0;104;174;203;146.0;68;61.0;;47.0;33.0;48.0;11;13.0;18.0;40.0;0.0;;8.0;;;;;13228.0
