fullName;shortName;circleColor;shadeColor;emoji
LO;LO;#c46283;#c46283;🟪
Danielle Simonnet;LFI;#cc2443;#cc2443;🟪
David Belliard;EÉLV;#00c000;#00c000;🟩
Anne Hidalgo;PS;#ff8080;#ff8080;🟥
Parisiennes, Parisiens;PP;#ffc0c0;#ffc0c0;🟥
Cédric Villani;NP;#FAC577;#FAC577;🟨
Agnès Buzyn;LREM;#ffeb00;#ffeb00;🟨
Rachida Dati;LR;#0066cc;#0066cc;🟦
Serge Federbusch;RN;#475e88;#475e88;🟫
Marcel Campion;LP;#c0c0c0;#c0c0c0;⬛
Christophe Berkani;PC;#c0c0c0;#c0c0c0;⬛
Philippe Goujon;D-Goujon;#adc1fd;#adc1fd;🟦
Soyons Libres;SL;#adc1fd;#adc1fd;🟦
Céline Boulay-Espéronnier;D-Espéronnier;#adc1fd;#adc1fd;🟦
Danièle Giazzi;D-Giazzi;#adc1fd;#adc1fd;🟦
Catherine Lécuyer;D-Lécuyer;#adc1fd;#adc1fd;🟦
Jacques Lefort;D-Lefort;#adc1fd;#adc1fd;🟦
Dominique Tiberi;D-Tiberi;#adc1fd;#adc1fd;🟦
Alexandre Arnould;D-Arnould;#adc1fd;#adc1fd;🟦
Sofiane Aoudia;I-Aoudia;#c0c0c0;#c0c0c0;⬛
Florence Berthout;D-Berthout;#38AAE6;#38AAE6;🟦
POID;POID;#8e2f2f;#8e2f2f;🟪
Jean-Sébastien Baschet;C-Baschet;#FAC577;#FAC577;🟨
Patrick Garnier;I-Garnier;#c0c0c0;#c0c0c0;⬛
Fabiola Conti;Volt;#c0c0c0;#c0c0c0;⬛
Jean Préau;I-Préau;#c0c0c0;#c0c0c0;⬛
UPR;UPR;#c0c0c0;#c0c0c0;⬛
Autres;Autres;#c0c0c0;#c0c0c0;⬛
