div;seats;layout;orientation;ratio;cx;cy
Paris-Centre;8;Regular;;;576.347;310.240
A05;4;Regular;;;590.859;439.465
A06;3;Regular;;;511.132;407.145
A07;4;Regular;;;407.747;353.668
A08;3;Regular;;;392.806;235.241
A09;4;Regular;;;527.927;193.730
A10;7;Regular;;;641.726;196.815
A11;11;Regular;L;;727.128;314.318
A12;10;Regular;;;788.684;461.891
A13;13;Regular;;;643.268;555.811
A14;10;Regular;;;471.000;547.943
A15;18;Regular;;;312.869;484.239
A16;13;Regular;L;;214.828;297.193
A17;12;Regular;;;353.321;120.210
A18;15;Regular;;;573.901;71.689
A19;14;Regular;L;;755.744;109.850
A20;14;Regular;L;;845.500;303.475
