;PS;LR;LREM;EÉLV;NP;LFI;D-Goujon;RN;LO;PP;LP;SL;D-Espéronnier;D-Giazzi;D-Lécuyer;D-Lefort;I-Aoudia;POID;D-Tiberi;C-Baschet;D-Arnould;PC;UPR;I-Garnier;Volt;I-Préau
A01;10038;6096;6271;3090;2379;739;;328;130;;172;410;;;;;;;;;;109;;;;
A05;4448;3023;4987;1997;1322;527;;211;79;153;62;;;;;;;;352;;318;;;;;22
A06;2155;4424;2623;883;1027;142;;168;38;;56;;;;;;;;;;;49;;;;
A07;1731;7678;3506;608;868;101;;216;;69;45;;;;;;;;;324;;;;;;
A08;1047;3574;2738;591;744;93;;161;;55;52;;;;1237;;;;;;;;;;;
A09;4522;2841;6660;1729;1278;465;;231;87;;72;;;;;;;;;;;66;;;95;
A10;10109;3368;3553;3764;1628;1154;;367;193;196;88;;;;;;;;;;;;;;;
A11;17148;5147;5638;5340;2454;1905;;240;275;328;160;;;;;1194;;;;;;;;;;
A12;13049;8935;6464;4670;3088;1905;;394;295;;278;;;;;;;;;;;;;;;
A13;17545;7460;5534;4605;3158;2663;;936;432;222;237;;;;;;936;;;;;;;;;
A14;12189;7586;5814;4181;4487;1310;;616;234;325;206;;;;;;;150;;;;;;;;
A15;11978;13868;10162;4843;4295;1228;12997;1262;260;;;;;;;;;;;;;;;;;
A16;3103;18406;9072;1530;2141;198;;437;;115;212;;2021;1266;;;;;;;;;;;;
A17;7103;16931;9582;3843;2506;891;;749;197;248;187;;;;;;;;;;;;;;;
A18;13499;4825;7245;7314;2612;3964;;391;273;336;214;1480;;;;;;188;;;;;176;117;;
A19;15595;5304;4343;5570;2199;3251;;695;342;;219;;;;;;;265;;;;;;;;
A20;16960;6173;5575;5091;3073;4835;;868;430;646;250;603;;;;;;;;;;;;;;
