;@abs;@blank;@null;PS;LR;LREM;LFI;D-Berthout;D-Lécuyer;NP
1-1;633;6;9;139;192;68;;;;
1-2;718;7;4;216;176;88;;;;
1-3;696;2;3;284;184;74;;;;
1-4;801;13;4;273;185;62;;;;
1-5;657;5;3;212;108;68;;;;
1-6;732;15;4;218;194;65;;;;
1-7;649;4;4;187;223;67;;;;
1-8;585;7;5;123;188;56;;;;
1-9;591;3;5;102;214;70;;;;
1-10;575;1;2;101;174;44;;;;
2-1;750;10;1;166;185;73;;;;
2-2;629;7;1;173;166;60;;;;
2-3;559;3;5;99;128;51;;;;
2-4;942;8;1;307;167;95;;;;
2-5;903;10;3;301;156;69;;;;
2-6;900;7;7;283;168;94;;;;
2-7;900;10;5;325;166;88;;;;
2-8;1161;8;3;420;146;83;;;;
2-9;1086;10;6;399;117;89;;;;
2-10;853;3;4;323;126;72;;;;
3-1;833;8;3;347;147;73;;;;
3-2;947;7;6;396;124;67;;;;
3-3;772;12;4;301;151;72;;;;
3-4;838;8;3;329;150;88;;;;
3-5;747;4;3;266;168;78;;;;
3-6;822;9;4;288;197;76;;;;
3-7;856;9;3;296;213;83;;;;
3-8;736;9;9;266;212;91;;;;
3-9;942;8;6;398;195;100;;;;
3-10;1027;10;2;406;169;68;;;;
3-11;931;11;4;344;173;108;;;;
3-12;897;7;3;353;122;68;;;;
3-13;995;6;3;380;100;59;;;;
3-14;971;4;3;436;157;105;;;;
3-15;874;9;4;341;178;73;;;;
4-1;765;6;6;227;215;49;;;;
4-2;625;15;2;273;144;82;;;;
4-3;825;9;7;349;159;63;;;;
4-4;730;9;9;318;172;73;;;;
4-5;788;10;3;301;229;80;;;;
4-6;988;12;7;402;228;98;;;;
4-7;816;5;4;301;166;63;;;;
4-8;950;6;3;298;231;81;;;;
4-9;557;17;2;188;217;74;;;;
4-10;588;13;1;155;215;63;;;;
4-11;601;6;1;239;137;48;;;;
4-12;679;6;9;281;165;71;;;;
4-13;925;9;5;396;191;76;;;;
4-14;717;9;1;287;176;61;;;;
5-1;807;9;7;297;;;;323;;
5-2;897;5;11;311;;;;388;;
5-3;932;7;7;315;;;;344;;
5-4;814;12;5;245;;;;367;;
5-5;851;14;5;319;;;;391;;
5-6;706;15;3;290;;;;331;;
5-7;828;13;7;305;;;;409;;
5-8;880;10;6;317;;;;460;;
5-9;800;15;2;383;;;;387;;
5-10;816;19;7;337;;;;350;;
5-11;887;11;5;328;;;;329;;
5-12;848;15;9;335;;;;309;;
5-13;736;7;8;253;;;;274;;
5-14;728;4;7;321;;;;295;;
5-15;834;9;14;315;;;;301;;
5-16;833;14;5;366;;;;279;;
5-17;841;18;6;328;;;;270;;
5-18;797;20;16;291;;;;320;;
5-19;731;16;11;263;;;;361;;
5-20;829;13;7;286;;;;360;;
5-21;847;9;4;365;;;;299;;
5-22;791;16;8;264;;;;340;;
5-23;838;22;8;256;;;;357;;
5-24;801;8;4;363;;;;288;;
5-25;911;7;5;379;;;;325;;
6-1;858;9;0;155;237;61;;;;
6-2;778;2;2;153;270;74;;;;
6-3;860;13;6;206;272;71;;;;
6-4;715;6;2;149;189;68;;;;
6-5;770;6;1;167;193;57;;;;
6-6;688;7;1;168;216;50;;;;
6-7;634;3;5;113;206;51;;;;
6-8;639;7;5;109;183;75;;;;
6-9;540;2;1;112;182;62;;;;
6-10;640;8;6;138;227;102;;;;
6-11;800;1;4;142;251;65;;;;
6-12;661;1;3;117;271;74;;;;
6-13;774;3;7;163;309;82;;;;
6-14;758;7;5;145;271;48;;;;
6-15;761;5;2;144;251;60;;;;
6-16;950;7;7;170;281;81;;;;
6-17;869;7;2;227;294;103;;;;
6-18;606;8;1;144;225;51;;;;
6-19;630;2;1;122;236;72;;;;
6-20;703;5;3;124;269;81;;;;
6-21;674;10;3;199;213;34;;;;
6-22;730;6;7;174;263;86;;;;
7-1;;;;;;;;;;
7-2;;;;;;;;;;
7-3;;;;;;;;;;
7-4;;;;;;;;;;
7-5;;;;;;;;;;
7-6;;;;;;;;;;
7-7;;;;;;;;;;
7-8;;;;;;;;;;
7-9;;;;;;;;;;
7-10;;;;;;;;;;
7-11;;;;;;;;;;
7-12;;;;;;;;;;
7-13;;;;;;;;;;
7-14;;;;;;;;;;
7-15;;;;;;;;;;
7-16;;;;;;;;;;
7-17;;;;;;;;;;
7-18;;;;;;;;;;
7-19;;;;;;;;;;
7-20;;;;;;;;;;
7-21;;;;;;;;;;
7-22;;;;;;;;;;
7-23;;;;;;;;;;
7-24;;;;;;;;;;
7-25;;;;;;;;;;
8-1;958;5;1;84;275;91;;;98;
8-2;889;2;2;83;220;86;;;106;
8-3;811;5;0;86;224;115;;;153;
8-4;883;4;2;56;255;110;;;91;
8-5;1004;3;2;120;283;112;;;105;
8-6;842;6;4;130;196;118;;;76;
8-7;908;7;1;144;194;121;;;113;
8-8;895;3;3;175;179;89;;;106;
8-9;964;9;5;128;296;112;;;127;
8-10;699;5;0;67;188;41;;;39;
8-11;746;4;1;97;178;77;;;50;
8-12;862;3;4;90;188;80;;;84;
8-13;956;2;2;110;255;68;;;95;
8-14;975;3;5;96;274;69;;;71;
8-15;1058;3;6;80;290;83;;;58;
8-16;975;2;2;63;297;121;;;79;
8-17;667;3;3;36;142;23;;;27;
8-18;674;3;0;34;154;27;;;34;
9-1;806;5;2;226;86;237;;;;
9-2;862;7;2;241;87;239;;;;
9-3;883;6;5;223;80;255;;;;
9-4;859;5;3;230;85;267;;;;
9-5;877;3;5;217;123;277;;;;
9-6;835;8;2;167;101;226;;;;
9-7;829;3;0;172;152;188;;;;
9-8;814;6;2;168;107;322;;;;
9-9;781;7;1;174;114;374;;;;
9-10;800;5;4;217;104;273;;;;
9-11;847;4;6;249;76;277;;;;
9-12;852;7;5;250;87;240;;;;
9-13;972;6;2;298;89;233;;;;
9-14;904;9;2;262;109;319;;;;
9-15;811;8;2;247;128;284;;;;
9-16;832;3;3;224;98;296;;;;
9-17;869;7;5;207;168;286;;;;
9-18;915;12;3;238;87;280;;;;
9-19;847;8;1;256;89;209;;;;
9-20;819;6;2;264;110;268;;;;
9-21;893;6;3;254;105;286;;;;
9-22;799;6;4;242;105;268;;;;
9-23;813;6;4;248;87;217;;;;
9-24;818;3;2;224;76;321;;;;
9-25;969;3;1;308;90;222;;;;
9-26;905;6;3;271;102;230;;;;
9-27;930;5;6;351;96;216;;;;
10-1;921;14;5;414;124;43;;;;
10-2;1030;13;5;436;121;74;;;;
10-3;909;19;7;426;130;57;;;;
10-4;846;16;2;371;96;49;;;;
10-5;823;10;2;342;104;53;;;;
10-6;865;6;4;377;128;51;;;;
10-7;844;7;5;363;94;59;;;;
10-8;963;13;4;427;103;87;;;;
10-9;994;8;6;365;155;91;;;;
10-10;808;9;9;415;99;52;;;;
10-11;955;9;8;427;100;64;;;;
10-12;994;7;6;459;63;31;;;;
10-13;1093;12;4;387;80;40;;;;
10-14;1032;9;3;468;90;38;;;;
10-15;842;6;3;379;102;53;;;;
10-16;905;16;1;355;100;41;;;;
10-17;934;12;4;217;142;23;;;;
10-18;946;14;18;278;131;50;;;;
10-19;779;14;4;241;125;51;;;;
10-20;819;13;6;353;99;52;;;;
10-21;924;9;3;279;101;41;;;;
10-22;852;12;4;380;101;47;;;;
10-23;743;12;3;314;113;64;;;;
10-24;794;11;5;323;104;35;;;;
10-25;796;11;5;382;128;43;;;;
10-26;739;6;3;350;126;39;;;;
10-27;991;7;5;362;118;37;;;;
10-28;847;13;9;328;159;45;;;;
10-29;851;9;2;319;144;74;;;;
10-30;865;10;5;333;147;61;;;;
10-31;752;8;8;269;123;66;;;;
10-32;803;12;6;337;97;62;;;;
10-33;940;8;4;334;96;60;;;;
10-34;897;13;1;341;132;78;;;;
10-35;832;9;4;323;127;87;;;;
10-36;836;16;5;376;110;66;;;;
10-37;825;6;6;331;100;57;;;;
10-38;916;8;6;435;126;71;;;;
10-39;1032;9;1;420;110;83;;;;
11-1;1086;12;9;431;134;70;;;;
11-2;940;20;5;418;157;80;;;;
11-3;926;11;11;353;130;51;;;;
11-4;1051;11;7;429;155;65;;;;
11-5;1091;7;5;428;115;70;;;;
