fullName;shortName;abbr;circleColor;shadeColor;emoji
;;VVD;#012CCA;#012CCA;
;;PVV;#012758;#012758;
;;CDA;#2CC84D;#2CC84D;
;;D66;#00AE41;#00AE41;
;;GL;#83BD00;#83BD00;
;;SP;#F60000;#F60000;
;;PvdA;#DF111A;#DF111A;
;;CU;#00A7EB;#00A7EB;
;;CU-SGP;#00a7eb;#00a7eb;
;;PvdD;#007B2D;#007B2D;
;;50+;#92107D;#92107D;
;;SGP;#EA5B0B;#EA5B0B;
;;DENK;#00B7B2;#00B7B2;
;;FvD;#841818;#841818;
;;BIJ1;#FFFF00;#FFFF00;
;;JA21;#242B57;#242B57;
;;CO;#EF7601;#EF7601;
;;Volt;#582C83;#582C83;
;;NIDA;#85B445;#85B445;
;;PPNL;#532F91;#532F91;
;;vdR&PPNL;#580091;#580091;
;;LP;#0071CE;#0071CE;
;;JONG;#F48826;#F48826;
;;SPL;#4500AB;#4500AB;
;;BBB;#94C11F;#94C11F;
;;NLB;#FF9600;#FF9600;
;;LHK;#FF727B;#FF727B;
;;OPR;#5399C9;#5399C9;
;;JL;#5175B8;#5175B8;
;;ToN;#F58113;#F58113;
;;UCF;#EA0512;#EA0512;
;;Blanco;#DCDCDC;#DCDCDC;
;;PvdE;#00923F;#00923F;
;;DFP;#E6760B;#E6760B;
;;VSN;#482777;#482777;
;;WZNL;#000000;#000000;
;;MN;#8F4B4B;#8F4B4B;
;;DG;#019354;#019354;
;;PvdR;#005399;#005399;
;;WN;#2799D6;#2799D6;
;;AWP;#021373;#021373;
