;cx;cy;ringSize
Ain;1414.730;992.793;5
Aisne;1196.003;336.126;5
Allier;1138.288;929.459;5
Alpes-de-Haute-Provence;1525.135;1352.252;5
Hautes-Alpes;1541.396;1235.000;5
Alpes-Maritimes;1644.099;1389.054;5
Ardèche;1296.622;1247.838;5
Ardennes;1324.865;346.622;5
Ariège;927.748;1571.351;5
Aube;1262.815;587.973;5
Aude;1059.550;1527.703;5
Aveyron;1081.802;1324.865;5
Bouches-du-Rhône;1384.775;1467.793;5
Calvados;700.946;433.063;5
Cantal;1071.532;1171.667;5
Charente;754.009;1066.396;5
Charente-Maritime;623.919;1033.018;5
Cher;1054.414;806.216;5
Corrèze;973.108;1129.730;5
Corse-du-Sud;1870.901;1766.487;5
Haute-Corse;1900.000;1650.090;5
Côte-d'Or;1340.270;748.018;5
Côtes-d'Armor;372.144;568.288;5
Creuse;991.937;993.649;5
Dordogne;833.045;1173.378;5
Doubs;1549.600;791.550;5
Drôme;1398.468;1238.423;5
Eure;853.288;450.180;5
Eure-et-Loir;893.752;594.245;5
Finistère;212.561;596.895;5
Gard;1275.225;1377.072;5
Haute-Garonne;908.919;1464.369;5
Gers;795.090;1425.000;5
Gironde;659.009;1221.306;5
Hérault;1162.252;1451.532;5
Ille-et-Vilaine;529.775;617.072;5
Indre;936.306;867.838;5
Indre-et-Loire;827.613;775.405;5
Isère;1446.396;1136.577;5
Jura;1463.086;877.680;5
Landes;635.045;1383.063;5
Loir-et-Cher;917.477;715.495;5
Loire;1229.009;1076.667;5
Haute-Loire;1218.739;1178.514;5
Loire-Atlantique;510.946;773.694;5
Loiret;1033.082;676.609;5
Lot;934.595;1258.964;5
Lot-et-Garonne;795.946;1307.748;5
Lozère;1182.793;1282.072;5
Maine-et-Loire;666.712;752.297;5
Manche;558.874;441.622;5
Marne;1280.360;460.450;5
Haute-Marne;1400.608;622.207;5
Mayenne;647.883;623.063;5
Meurthe-et-Moselle;1514.009;523.356;5
Meuse;1413.874;469.437;5
Morbihan;388.288;677.838;5
Moselle;1579.054;441.194;5
Nièvre;1184.077;804.505;5
Nord;1171.094;219.761;5
Oise;1093.936;363.483;5
Orne;765.991;528.919;5
Pas-de-Calais;1019.607;184.671;5
Puy-de-Dôme;1124.757;1055.559;5
Pyrénées-Atlantiques;633.333;1507.162;5
Hautes-Pyrénées;756.577;1543.964;5
Pyrénées-Orientales;1075.811;1632.973;5
Bas-Rhin;1692.455;519.932;5
Haut-Rhin;1659.505;662.860;5
Rhône;1292.342;989.369;5
Métropole de Lyon;1351.261;1079.667;5
Haute-Saône;1497.644;701.698;5
Saône-et-Loire;1311.032;882.095;5
Sarthe;763.423;645.315;5
Savoie;1568.784;1114.324;5
Haute-Savoie;1543.964;989.369;5
Paris;1650.935;176.108;5
Seine-Maritime;862.703;336.351;5
Seine-et-Marne;1121.110;506.355;5
Yvelines;945.716;504.899;5
Deux-Sèvres;689.820;908.063;5
Somme;1009.783;288.947;5
Tarn;1009.910;1407.883;5
Tarn-et-Garonne;896.937;1360.811;5
Var;1535.405;1469.504;5
Vaucluse;1395.045;1362.522;5
Vendée;565.721;898.649;5
Vienne;793.378;904.640;5
Haute-Vienne;889.234;1024.459;5
Vosges;1562.893;620.068;5
Yonne;1187.500;670.135;5
Territoire de Belfort;1695.878;799.369;5
Essonne;1029.698;568.895;5
Hauts-de-Seine;1591.627;258.412;5
Seine-Saint-Denis;1736.871;119.826;5
Val-de-Marne;1732.635;248.124;5
Val-d'Oise;1028.549;444.518;5
Guadeloupe;125.088;1254.724;5
Martinique;125.088;1429.724;5
Guyane;125.088;1604.724;5
La Réunion;125.088;1779.724;5
Saint-Pierre-et-Miquelon;300.088;1779.724;5
Mayotte;300.088;1254.724;5
Saint-Martin;263.088;1042.724;5
Saint-Barthélemy;337.088;1116.724;5
Saint-Martin et Saint-Barthélemy;263.088;1116.724;5
Wallis-et-Futuna;300.088;1604.724;5
Polynésie-Française;300.088;1429.724;5
Nouvelle-Calédonie;125.088;1079.724;5
Français vivant hors de France;125.088;904.724;5
