div;seats;layout;orientation;ratio;cx;cy
Ain;5;Regular;;;1414.730;992.793
Aisne;5;Regular;;;1187.572;344.566
Allier;3;Regular;;;1138.288;929.459
Alpes-de-Haute-Provence;2;Regular;;;1525.135;1352.252
Hautes-Alpes;2;Regular;;;1541.396;1235.000
Alpes-Maritimes;9;Regular;;;1644.099;1389.054
Ardèche;3;Regular;;;1296.622;1247.838
Ardennes;3;Regular;;;1324.865;346.622
Ariège;2;Regular;;;927.748;1581.351
Aube;3;Regular;;;1282.815;587.973
Aude;3;Regular;;;1059.550;1542.703
Aveyron;3;Regular;;;1081.802;1324.865
Bouches-du-Rhône;16;Regular;;;1384.775;1467.793
Calvados;6;Regular;;;696.946;437.063
Cantal;2;Regular;;;1071.532;1171.667
Charente;3;Regular;;;757.009;1063.396
Charente-Maritime;5;Regular;;;623.919;1033.018
Cher;3;Regular;;;1054.414;806.216
Corrèze;2;Regular;;;973.108;1129.730
Corse-du-Sud;2;Regular;;;1870.901;1766.487
Haute-Corse;2;Regular;;;1900.000;1650.090
Côte-d'Or;5;Regular;;;1340.270;748.018
Côtes-d'Armor;5;Regular;;;386.144;557.288
Creuse;1;Regular;;;991.937;993.649
Dordogne;4;Regular;;;833.045;1173.378
Doubs;5;Regular;;;1559.600;796.550
Drôme;4;Regular;;;1398.468;1243.423
Eure;5;Regular;;;836.982;454.998
Eure-et-Loir;4;Regular;;;910.360;599.480
Finistère;8;Regular;;;212.561;596.895
Gard;6;Regular;;;1275.225;1377.072
Haute-Garonne;10;Regular;;;908.919;1464.369
Gers;2;Regular;;;775.090;1425.000
Gironde;12;Regular;;;659.009;1221.306
Hérault;9;Regular;;;1165.252;1451.532
Ille-et-Vilaine;8;Regular;;;529.775;617.072
Indre;2;Regular;;;936.306;867.838
Indre-et-Loire;5;Regular;;;827.613;775.405
Isère;10;Regular;;;1446.396;1133.577
Jura;3;Regular;;;1463.086;877.680
Landes;3;Regular;;;635.045;1383.063
Loir-et-Cher;3;Regular;;;917.477;715.495
Loire;6;Regular;;;1248.904;1056.436
Haute-Loire;2;Regular;;;1218.739;1168.514
Loire-Atlantique;10;Regular;;;510.946;763.694
Loiret;6;Regular;;;1034.517;657.949
Lot;2;Regular;;;934.595;1258.964
Lot-et-Garonne;3;Regular;;;795.946;1307.748
Lozère;1;Regular;;;1182.793;1282.072
Maine-et-Loire;7;Regular;;;666.712;752.297
Manche;4;Regular;;;563.063;441.530
Marne;5;Regular;;;1280.360;460.450
Haute-Marne;2;Regular;;;1400.608;622.207
Mayenne;3;Regular;;;647.883;623.063
Meurthe-et-Moselle;6;Regular;;;1517.877;522.745
Meuse;2;Regular;;;1413.874;469.437
Morbihan;6;Regular;;;378.288;677.838
Moselle;9;Regular;;;1568.738;415.365
Nièvre;2;Regular;;;1184.077;804.505
Nord;21;Regular;;;1171.094;209.761
Oise;7;;;1.75;1032.985;369.421
Orne;3;Regular;;;744.786;523.066
Pas-de-Calais;12;Regular;;;1019.607;164.671
Puy-de-Dôme;5;Regular;;;1124.757;1055.559
Pyrénées-Atlantiques;6;Regular;;;633.333;1507.162
Hautes-Pyrénées;2;Regular;;;756.577;1543.964
Pyrénées-Orientales;4;Regular;;;1075.811;1642.973
Bas-Rhin;9;Regular;;;1722.455;519.932
Haut-Rhin;6;Regular;;;1676.505;667.860
Circonscription départementale du Rhône;14;Regular;;;1325.238;1035.342
Haute-Saône;2;Regular;;;1518.644;699.698
Saône-et-Loire;5;Regular;;;1311.032;882.095
Sarthe;5;Regular;;;763.423;645.315
Savoie;4;Regular;;;1568.784;1114.324
Haute-Savoie;6;Regular;;;1543.964;989.369
Paris;18;Regular;;;1652.434;176.108
Seine-Maritime;10;Regular;;;862.703;336.351
Seine-et-Marne;11;Regular;;;1153.625;520.419
Yvelines;12;Regular;;0.67;944.910;488.837
Deux-Sèvres;3;Regular;;;689.820;908.063
Somme;5;Regular;;;1028.143;286.186
Tarn;3;Regular;;;1019.910;1407.883
Tarn-et-Garonne;2;Regular;;;896.937;1360.811
Var;8;Regular;;;1535.405;1469.504
Vaucluse;5;Regular;;;1400.045;1374.522
Vendée;5;Regular;;;565.721;892.649
Vienne;4;Regular;;;793.378;904.640
Haute-Vienne;3;Regular;;;889.234;1024.459
Vosges;4;Regular;;;1542.893;615.068
Yonne;3;Regular;;;1187.500;670.135
Territoire de Belfort;2;Regular;;;1612.816;711.590
Essonne;10;Regular;;0.67;1045.118;541.372
Hauts-de-Seine;13;Regular;;;1572.046;189.196
Seine-Saint-Denis;12;Regular;;;1750.755;116.431
Val-de-Marne;11;Regular;;;1750.587;242.715
Val-d'Oise;10;Regular;;2;1042.222;447.649
Guadeloupe;4;Regular;;;125.088;1254.724
Martinique;4;Regular;;;125.088;1429.724
Guyane;2;Regular;;;125.088;1604.724
La Réunion;7;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;1;Regular;;;300.088;1779.724
Mayotte;2;Regular;;;300.088;1254.724
Saint-Martin;0;Regular;;;263.088;1042.724
Saint-Barthélemy;0;Regular;;;337.088;1116.724
Saint-Martin et Saint-Barthélemy;1;Regular;;;300.088;1079.724
Wallis-et-Futuna;1;Regular;;;300.088;1604.724
Polynésie-française;3;Regular;;;300.088;1429.724
Nouvelle-Calédonie;2;Regular;;;125.088;1079.724
Français vivant hors de France;11;Regular;;;125.088;904.724
