div;seats;layout;orientation;ratio;cx;cy
Alsace;15;Regular;R;;1683.986;588.939
Aquitaine;28;Regular;;;680.836;1284.949
Auvergne;12;Regular;;;1132.116;1059.287
Bourgogne;15;Regular;;;1269.727;780.914
Bretagne;27;Regular;;;379.242;610.959
Centre-Val-de-Loire;23;Regular;;;964.427;761.886
Champagne-Ardenne;13;Regular;L;;1292.224;508.941
Corse;4;Regular;;;1882.309;1722.895
Franche-Comté;12;Regular;;;1512.829;786.785
Languedoc-Roussillon;23;Regular;;;1143.516;1467.870
Île-de-France;97;Regular;;;1055.103;534.651
Limousin;6;Regular;;;950.060;1054.958
Lorraine;21;Regular;;;1517.877;522.745
Midi-Pyrénées;26;Regular;;;933.288;1401.185
Nord-Pas-de-Calais;33;Regular;;;1087.193;183.377
Basse-Normandie;13;Regular;;;678.636;466.922
Haute-Normandie;15;Regular;;;561.510;392.510
Pays-de-la-Loire;30;Regular;;;637.969;735.169
Picardie;17;Regular;;;1095.210;338.037
Poitou-Charentes;15;Regular;;;732.018;990.176
Provence-Alpes-Côte-d'Azur;42;Regular;;;1511.120;1397.900
Rhône-Alpes;52;Regular;;;1426.867;1098.075
Guadeloupe;4;Regular;;;125.088;1254.724
Martinique;4;Regular;;;125.088;1429.724
Guyane;2;Regular;;;125.088;1604.724
La Réunion;7;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;1;Regular;;;300.088;1779.724
Mayotte;2;Regular;;;300.088;1254.724
Saint-Martin;0;Regular;;;263.088;1042.724
Saint-Martin et Saint-Barthélemy;1;Regular;;;300.088;1079.724
Wallis-et-Futuna;1;Regular;;;300.088;1604.724
Polynésie-française;3;Regular;;;300.088;1429.724
Nouvelle-Calédonie;2;Regular;;;125.088;1079.724
Français vivant hors de France;11;Regular;;;125.088;904.724
