div;seats;layout;orientation;ratio;cx;cy
Ain;0;Regular;;;1424.730;992.793
Aisne;0;Regular;;;1187.572;344.566
Allier;0;Regular;;;1138.288;929.459
Alpes-de-Haute-Provence;0;Regular;;;1525.135;1352.252
Hautes-Alpes;0;Regular;;;1541.396;1235.000
Alpes-Maritimes;0;Regular;;;1644.099;1389.054
Ardèche;0;Regular;;;1296.622;1247.838
Ardennes;0;Regular;;;1324.865;346.622
Ariège;0;Regular;;;927.748;1581.351
Aube;0;Regular;;;1282.815;587.973
Aude;0;Regular;;;1059.550;1542.703
Aveyron;0;Regular;;;1081.802;1324.865
Bouches-du-Rhône;0;Regular;;;1384.775;1467.793
Calvados;0;Regular;;1.25;690.946;433.063
Cantal;0;Regular;;;1071.532;1171.667
Charente;0;Regular;;;757.009;1063.396
Charente-Maritime;0;Regular;;;623.919;1033.018
Cher;0;Regular;;;1054.414;806.216
Corrèze;0;Regular;;;973.108;1129.730
Corse-du-Sud;0;Regular;;;1870.901;1766.487
Haute-Corse;0;Regular;;;1900.000;1650.090
Côte-d'Or;0;Regular;;;1340.270;748.018
Côtes-d'Armor;0;Regular;;;392.144;553.288
Creuse;0;Regular;;;991.937;993.649
Dordogne;0;Regular;;;833.045;1173.378
Doubs;0;Regular;;;1579.600;826.550
Drôme;0;Regular;;;1398.468;1243.423
Eure;0;Regular;;;836.982;454.998
Eure-et-Loir;0;Regular;;;910.360;599.480
Finistère;0;Regular;;;212.561;596.895
Gard;0;Regular;;;1275.225;1377.072
Haute-Garonne;0;Regular;;;908.919;1464.369
Gers;0;Regular;;;775.090;1425.000
Gironde;0;Regular;;;659.009;1221.306
Hérault;0;Regular;;;1165.252;1451.532
Ille-et-Vilaine;0;Regular;;;529.775;617.072
Indre;0;Regular;;;936.306;867.838
Indre-et-Loire;0;Regular;;;827.613;775.405
Isère;0;Regular;;;1446.396;1133.577
Jura;0;Regular;;;1453.086;877.680
Landes;0;Regular;;;635.045;1383.063
Loir-et-Cher;0;Regular;;;917.477;715.495
Loire;0;Regular;;0.67;1248.904;1056.436
Haute-Loire;0;Regular;;;1218.739;1168.514
Loire-Atlantique;0;Regular;;;510.946;763.694
Loiret;0;Regular;;;1034.517;657.949
Lot;0;Regular;;;934.595;1258.964
Lot-et-Garonne;0;Regular;;;795.946;1307.748
Lozère;0;Regular;;;1182.793;1282.072
Maine-et-Loire;0;Regular;;;666.712;752.297
Manche;0;Regular;;0.75;563.063;441.530
Marne;0;Regular;;;1280.360;460.450
Haute-Marne;0;Regular;;;1400.608;622.207
Mayenne;0;Regular;;;647.883;623.063
Meurthe-et-Moselle;0;Regular;;1.25;1567.877;522.745
Meuse;0;Regular;;;1413.874;469.437
Morbihan;0;Regular;;;378.288;677.838
Moselle;0;Regular;;1.25;1568.738;415.365
Nièvre;0;Regular;;;1184.077;804.505
Nord;0;Regular;;;1171.094;209.761
Oise;0;Regular;;1.75;1032.985;369.421
Orne;0;Regular;;1.5;744.786;543.066
Pas-de-Calais;0;Regular;;;1019.607;164.671
Puy-de-Dôme;0;Regular;;;1124.757;1055.559
Pyrénées-Atlantiques;0;Regular;;;633.333;1507.162
Hautes-Pyrénées;0;Regular;;;756.577;1543.964
Pyrénées-Orientales;0;Regular;;;1075.811;1642.973
Bas-Rhin;0;Regular;;;1722.455;519.932
Haut-Rhin;0;Regular;;0.8;1676.505;667.860
Circonscription départementale du Rhône;0;Regular;;0.67;1325.238;1035.342
Haute-Saône;0;Regular;;;1518.644;709.698
Saône-et-Loire;0;Regular;;;1311.032;882.095
Sarthe;0;Regular;;;763.423;645.315
Savoie;0;Regular;;;1568.784;1114.324
Haute-Savoie;0;Regular;;;1543.964;989.369
Paris;0;Regular;;0.75;1652.434;176.108
Seine-Maritime;0;Regular;;;862.703;336.351
Seine-et-Marne;0;Regular;;;1153.625;520.419
Yvelines;0;Regular;;0.8;944.910;488.837
Deux-Sèvres;0;Regular;;;689.820;908.063
Somme;0;Regular;;;1028.143;286.186
Tarn;0;Regular;;;1019.910;1407.883
Tarn-et-Garonne;0;Regular;;;896.937;1360.811
Var;0;Regular;;;1535.405;1469.504
Vaucluse;0;Regular;;;1400.045;1374.522
Vendée;0;Regular;;;565.721;898.649
Vienne;0;Regular;;;793.378;904.640
Haute-Vienne;0;Regular;;;889.234;1024.459
Vosges;0;Regular;;1.5;1542.893;615.068
Yonne;0;Regular;;;1187.500;670.135
Territoire de Belfort;0;Regular;;0.75;1612.816;711.590
Essonne;0;Regular;;;1045.118;541.372
Hauts-de-Seine;0;Regular;;0.5;1572.046;189.196
Seine-Saint-Denis;0;Regular;;;1750.755;116.431
Val-de-Marne;0;Regular;;;1750.587;242.715
Val-d'Oise;0;Regular;;;1042.222;447.649
Guadeloupe;0;Regular;;;125.088;1254.724
Martinique;0;Regular;;;125.088;1429.724
Guyane;0;Regular;;;125.088;1604.724
La Réunion;0;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;0;Regular;;;300.088;1779.724
Mayotte;0;Regular;;;300.088;1254.724
Saint-Martin;0;Regular;;;263.088;1042.724
Saint-Barthélemy;0;Regular;;;337.088;1116.724
Saint-Martin et Saint-Barthélemy;0;Regular;;;300.088;1079.724
Wallis-et-Futuna;0;Regular;;;300.088;1604.724
Polynésie-Française;0;Regular;;;300.088;1429.724
Nouvelle-Calédonie;0;Regular;;;125.088;1079.724
Français vivant hors de France;0;Regular;;;125.088;904.724
Parlement européen;0;Regular;;;300.088;904.724
