div;seats;layout;orientation;ratio;cx;cy
Grand-Est;49;Regular;;;1722.455;546.932
Nouvelle-Aquitaine;49;Regular;;;659.009;1221.306
Auvergne-Rhône-Alpes;64;Regular;;;1446.396;1133.577
Bourgogne-Franche-Comté;27;Regular;;;1340.270;748.018
Bretagne;27;Regular;;;386.144;557.288
Centre-Val-de-Loire;23;Regular;;;1054.414;806.216
Corse;4;Regular;;;1870.901;1706.487
Occitanie;49;Regular;;;1059.550;1542.703
Île-de-France;97;Regular;;;1652.434;176.108
Hauts-de-France;50;Regular;;;1171.094;209.761
Normandie;28;Regular;;;696.946;437.063
Pays-de-la-Loire;30;Regular;;;510.946;763.694
Provence-Alpes-Côte-d'Azur;42;Regular;;;1525.135;1300.252
Guadeloupe;4;Regular;;;125.088;1254.724
Martinique;4;Regular;;;125.088;1429.724
Guyane;2;Regular;;;125.088;1604.724
La Réunion;7;Regular;;;125.088;1779.724
Saint-Pierre-et-Miquelon;1;Regular;;;300.088;1779.724
Mayotte;2;Regular;;;300.088;1254.724
Saint-Martin et Saint-Barthélemy;1;Regular;;;300.088;1079.724
Wallis-et-Futuna;1;Regular;;;300.088;1604.724
Polynésie-française;3;Regular;;;300.088;1429.724
Nouvelle-Calédonie;2;Regular;;;125.088;1079.724
Français vivant hors de France;11;Regular;;;125.088;904.724
