div;seats;layout;orientation;cx;cy
Alabama;7;Regular;;186.497;372.973
Alaska;1;Regular;;104.802;505.055
Arizona;9;Regular;;;
Arkansas;4;Regular;;;
California;52;Regular;R;79.404602;277.50867
Colorado;8;Regular;;306.107;282.749
Connecticut;5;Regular;;;
Delaware;1;Regular;;;
Florida;28;Regular;;;
Georgia;14;Regular;;;
Hawaii;2;Regular;;279.039;549.526
Idaho;2;Regular;;185.264;125.798
Illinois;17;Regular;;;
Indiana;9;Regular;;;
Iowa;4;Regular;;;
Kansas;4;Regular;;425.162;301.063
Kentucky;6;Regular;;;
Louisiana;6;Regular;;;
Maine;2;Regular;;;
Maryland;8;Regular;;;
Massachusetts;9;Regular;;;
Michigan;13;Regular;;;
Minnesota;8;Regular;;;
Mississippi;4;Regular;;;
Missouri;8;Regular;;;
Montana;2;Regular;;263.761;101.683
Nebraska;3;Regular;;405.967;234.718
Nevada;4;Regular;;126.920;262.743
New Hampshire;2;Regular;;;
New Jersey;12;Regular;;;
New Mexico;3;Regular;;286.610;381.173
New York;26;Regular;;;
North Carolina;14;Regular;;;
North Dakota;1;Regular;;400.554;106.991
Ohio;15;Regular;;;
Oklahoma;5;Regular;;441.435;366.744
Oregon;6;Regular;;91.457;122.761
Pennsylvania;17;Regular;;;
Rhode Island;2;Regular;;;
South Carolina;7;Regular;;;
South Dakota;1;Regular;;398.980;176.132
Tennessee;9;Regular;;;
Texas;38;Regular;;410.436;459.743
Utah;4;Regular;;208.186;259.892
Vermont;1;Regular;;;
Virginia;11;Regular;;;
Washington;10;Regular;;111.298;64.596
West Virginia;2;Regular;;;
Wisconsin;8;Regular;;;
Wyoming;1;Regular;;283.497;193.301
