;Emmanuel Macron;Marine Le Pen;@
Ain;173809;111421;130720
Aisne;119202;133939;122650
Allier;106579;60207;86693
Alpes-de-Haute-Provence;48994;34817;42648
Hautes-Alpes;47211;26417;36264
Alpes-Maritimes;278407;224544;258829
Ardèche;104599;63109;81508
Ardennes;64424;62571;67354
Ariège;47983;28074;41349
Aube;75810;64180;63810
Aude;100901;81452;90290
Aveyron;109340;40838;67919
Bouches-du-Rhône;519335;378456;472266
Calvados;232615;114002;154445
Cantal;55411;23938;38045
Charente;113700;59916;86335
Charente-Maritime;215465;116854;158979
Cher;90376;57358;81250
Corrèze;88029;35955;61261
Corse-du-Sud;31139;30415;47206
Haute-Corse;35680;32567;56626
Côte-d'Or;159645;89121;111880
Côtes-d'Armor;236953;85554;133333
Creuse;39239;20428;33455
Dordogne;135533;75335;103033
Doubs;158304;89935;120075
Drôme;157992;94312;117158
Eure;158858;133417;135247
Eure-et-Loir;122420;80696;98339
Finistère;371332;108890;210217
Gard;194989;161125;181726
Haute-Garonne;436665;166595;303572
Gers;67571;33424;43955
Gironde;515491;220261;350813
Hérault;312419;215147;272698
Ille-et-Vilaine;403347;115942;210766
Indre;68173;43627;58605
Indre-et-Loire;201211;89438;138191
Isère;383197;199097;274036
Jura;79268;49888;61160
Landes;146619;66661;96842
Loir-et-Cher;100789;65896;78609
Loire;218603;123714;168586
Haute-Loire;76233;44112;56771
Loire-Atlantique;525200;155353;312860
Loiret;195004;113735;143882
Lot;66937;25802;43526
Lot-et-Garonne;97418;66393;77071
Lozère;26994;13275;19227
Maine-et-Loire;288817;107781;172637
Manche;176664;86126;116248
Marne;144840;109227;127590
Haute-Marne;45192;44331;44596
Mayenne;112192;43581;66565
Meurthe-et-Moselle;198750;128902;167434
Meuse;48303;45267;43982
Morbihan;289594;115076;172229
Moselle;282717;207597;260932
Nièvre;62722;41946;54714
Nord;669806;507434;627164
Oise;202509;177549;181892
Orne;88484;55070;65137
Pas-de-Calais;352558;382782;355101
Puy-de-Dôme;219437;88155;153327
Pyrénées-Atlantiques;253617;85377;163329
Hautes-Pyrénées;79794;37225;60659
Pyrénées-Orientales;118644;105874;123346
Bas-Rhin;330941;193788;241921
Haut-Rhin;203599;147599;174963
Rhône;74791;44472;53809
Métropole de Lyon;497224;160845;324365
Haute-Saône;63541;59341;56305
Saône-et-Loire;166945;103925;135441
Sarthe;170153;98523;136947
Savoie;135118;73598;101463
Haute-Savoie;249198;113746;175063
Paris;849257;97770;354510
Seine-Maritime;355441;232857;292458
Seine-et-Marne;369762;209221;301957
Yvelines;503661;149138;298022
Deux-Sèvres;135827;54039;82521
Somme;153326;129465;126166
Tarn;125591;71856;93706
Tarn-et-Garonne;71988;53166;58175
Var;266724;257769;270172
Vaucluse;145965;127113;129229
Vendée;253914;109035;151476
Vienne;143712;65255;98010
Haute-Vienne;126418;51763;88128
Vosges;106076;85894;90562
Yonne;88939;72651;80301
Territoire de Belfort;36345;26128;32785
Essonne;382650;147509;265076
Hauts-de-Seine;590963;99032;293527
Seine-Saint-Denis;367823;98825;300329
Val-de-Marne;419145;102673;263768
Val-d'Oise;342018;129518;258799
Guadeloupe;100635;33310;182117
Martinique;104307;30195;176171
Guyane;21769;11777;59055
Réunion;212081;139917;287393
Mayotte;19140;14374;48968
Nouvelle-Calédonie;47902;43217;98249
Polynésie-Française;52378;37319;114276
Saint-Pierre-et-Miquelon;1467;851;2645
Wallis-et-Futuna;4715;1243;2506
Saint-Martin;3857;1826;14472
Saint-Barthélémy;1425;1014;2851
Français vivant hors de France;496344;59415;709471
