;La France Insoumise;Une France royale au cœur de l'Europe;La Ligne claire;Parti pirate;Renaissance;Démocratie représentative;Ensemble Patriotes et Gilets Jaunes;Parti des citoyens européens;Urgence écologie;Liste de la reconquête;Les Européens;Envie d'Europé écologique et sociale;Parti fédéraliste européen;Mouvement pour l'initiative citoyenne;Le courage de défendre les Français;Allons enfants;Décroissance 2019;Lutte ouvrière;"Pour l'Europe des gens; contre l'Europe de l'argent";Ensemble pour le Frexit;Printemps européen;À voix égales;Prenez le pouvoir;Neutre et actif;Parti révolutionnaire Communistes;Espéranto;Évolution citoyenne;Alliance jaune;Union de la droite et du centre;Europe écologie;Parti animaliste;Les oubliés de l'Europe;"Union démocratique pour la liberté; égalité; fraternité";Une Europe au service des peuples;@
Ain;9586;14;1;138;44525;2;1548;60;3779;28;5570;10199;20;74;8483;51;78;1182;3208;2306;5236;10;48406;5;1;152;7;965;21179;27494;4075;462;8;273;218656
Aisne;11663;15;3;89;29069;6;1862;115;2352;27;4028;7415;8;39;8455;30;77;1762;3828;1884;4364;12;74089;1;6;151;10;1212;13349;14555;4801;448;10;49;185939
Allier;8452;31;7;41;24629;3;1013;21;1769;11;3785;7215;2;13;4328;24;52;1188;6225;1123;4209;8;32042;1;0;108;1;853;14023;11403;2992;375;2;16;122424
Alpes-de-Haute-Provence;5359;4;0;116;13222;1;513;30;1207;19;1130;3390;3;4;2606;11;43;446;2136;900;1880;10;18008;0;0;81;16;461;4314;8750;1468;185;0;2;59924
Hautes-Alpes;3871;7;0;32;12022;1;156;13;1158;1;1300;3331;6;2;2259;15;51;430;1417;736;1754;3;13507;0;0;66;8;308;4415;9239;1191;192;1;9;52196
Alpes-Maritimes;15261;70;90;311;78647;107;2125;95;6574;237;6843;14027;184;222;13225;128;147;1087;6905;4925;6165;145;108551;58;48;251;39;1517;41657;43340;9957;425;69;767;391609
Ardèche;9604;16;4;90;24843;7;1007;33;2205;25;2364;7884;14;46;4651;33;105;1124;4396;1750;4462;10;30694;8;1;93;12;754;13525;18125;2414;373;3;6;118438
Ardennes;6017;12;0;18;15604;6;1118;22;1278;6;2173;4129;1;18;3576;22;25;967;1857;864;2593;10;33207;3;0;53;8;574;7528;7789;2667;242;6;49;99170
Ariège;6772;3;2;34;10529;0;589;6;1054;1;972;6141;12;11;1877;8;57;577;2156;854;2707;2;15567;0;2;71;3;370;3273;7791;1301;243;0;2;54528
Aube;4802;9;2;60;18803;20;939;25;1753;11;2889;3938;8;7;5380;19;16;748;1922;1100;2315;15;34267;1;0;80;7;612;11076;8955;2410;277;1;23;99913
Aude;11244;16;2;54;24430;3;1179;10;2348;7;2102;13745;7;18;4658;29;63;945;4373;1709;4166;19;44997;0;3;258;17;1044;8478;14618;3123;344;5;18;129632
Aveyron;8324;6;1;52;27751;1;905;18;2150;17;3479;8793;11;7;4398;22;73;982;2739;1283;3820;13;22071;2;1;116;8;731;11226;14445;1764;405;0;36;101630
Bouches-du-Rhône;44873;56;24;884;125754;35;4647;153;12081;49;10645;30153;420;69;20098;146;171;2962;24135;8081;15289;59;188056;21;13;461;80;3777;48907;81860;11273;1191;25;1866;727031
Calvados;14958;13;3;175;59070;7;2255;57;4785;74;6653;17006;286;35;10151;52;88;2365;5181;2376;10384;302;60139;3;102;181;20;1717;21423;33996;6658;697;2;16;234980
Cantal;3238;7;0;44;12303;0;372;7;775;3;2033;3728;59;5;1690;11;24;473;1474;506;1732;6;11738;0;0;45;4;267;9434;5129;938;177;0;0;58478
Charente;9686;12;2;41;27332;2;481;36;2210;9;3048;8344;7;25;4594;21;60;1353;2990;1267;4502;12;32520;5;0;103;5;858;9123;15559;2652;365;0;6;130300
Charente-Maritime;16835;28;36;192;57695;8;887;97;4765;36;6688;16196;23;35;9319;77;106;1942;4838;2605;7095;78;64431;4;0;203;26;1479;19580;33147;5853;726;9;21;238415
Cher;7521;97;47;71;22221;72;972;45;1510;81;3133;5936;54;98;4465;60;49;646;4690;1206;2855;34;30128;21;38;91;14;836;9317;10803;2586;34;28;64;115300
Corrèze;7532;6;0;41;18651;1;351;17;1449;15;2167;8611;7;13;3144;18;30;904;4681;885;3402;4;20364;2;2;75;9;593;9368;10404;2316;290;3;9;88586
Corse-du-Sud;1218;3;1;18;6313;1;231;8;634;1;371;1189;43;2;911;4;13;152;1340;373;558;9;11821;3;0;30;11;257;4391;8390;1345;95;1;1;69373
Haute-Corse;1489;5;0;16;6608;0;255;4;646;5;380;1815;15;3;925;0;13;202;1984;309;630;6;12242;0;0;64;0;193;6060;10554;1706;32;1;0;78063
Côte-d'Or;10944;39;4;306;41710;1;1233;21;3596;20;4712;11003;6;16;7168;48;68;1452;3129;2064;5785;25;44405;2;0;184;5;876;17452;23845;4919;458;7;191;171221
Côtes-d'Armor;15321;32;17;167;59525;43;852;41;4487;64;5269;17603;357;75;7855;59;144;2524;7569;2190;12563;21;46874;11;15;229;22;1275;20423;35297;4239;708;8;7;209239
Creuse;4026;5;3;17;8348;1;378;11;624;9;1066;3164;2;17;1603;10;47;504;1648;498;1909;4;11041;0;1;45;3;299;4383;4451;972;195;0;1;46809
Dordogne;14631;11;2;81;32898;4;1277;38;2761;39;3513;12718;14;12;5981;59;87;1334;6268;1934;6177;20;43022;1;4;371;16;1118;12040;19430;3706;490;6;11;144012
Doubs;11121;13;9;171;38615;11;1439;13;3749;23;4444;10341;167;26;7407;42;109;1628;2955;2189;5110;29;40321;6;19;100;15;1031;18565;24750;3831;441;5;180;184102
Drôme;12049;9;3;178;38188;10;1405;64;3457;19;3754;10605;23;44;6979;29;118;1472;4421;2328;5612;14;43529;2;1;172;25;1084;16836;29454;3695;416;0;62;182638
Eure;12801;17;5;155;41135;17;1950;66;3459;29;5391;9998;12;12;10490;57;83;2098;4461;2421;5688;407;68485;4;0;105;18;1415;16413;22389;6268;495;6;109;208091
Eure-et-Loir;7744;19;8;66;30020;4;1280;37;2489;20;4399;7380;11;7;7358;31;44;1134;2362;1975;4091;17;40712;0;0;108;8;1054;14231;14729;4190;397;3;101;152284
Finistère;21913;86;64;444;89902;92;1036;69;4982;133;8109;29161;481;205;9372;172;268;3218;8068;3416;21559;120;58835;41;70;267;46;1677;27398;58810;6061;909;30;71;330620
Gard;19181;34;7;227;50017;6;2127;34;4670;27;4138;14600;32;24;8169;86;121;1590;9625;3480;6709;22;86747;0;8;211;91;1988;19502;30575;5347;631;23;95;267978
