,Nathalie Arthaud,Fabien Roussel,Emmanuel Macron,Jean Lassalle,Marine Le Pen,Éric Zemmour,Jean-Luc Mélenchon,Anne Hidalgo,Yannick Jadot,Valérie Pécresse,Philippe Poutou,Nicolas Dupont-Aignan,@blank,@null,@abs
Ain,1658,5938,92206,10876,86755,27530,57832,5644,15843,17572,2172,8998,5642,1902,97541
Aisne,2044,5985,58861,6489,104677,18306,41271,2993,7084,10936,2127,5804,3780,2098,101089
Allier,1359,8119,49704,7780,50314,12361,31013,3280,5982,10319,1503,4216,3747,1792,58501
Alpes-de-Haute-Provence,505,2721,20800,4309,26010,7925,21856,1396,3957,3834,865,2504,1442,661,29289
Hautes-Alpes,428,1925,20507,3871,19696,6164,19718,1459,5013,4511,801,2142,1365,562,25357
Alpes-Maritimes,1630,8883,139966,12784,149218,78329,92814,5424,23419,31304,2994,13326,7546,2695,208249
Ardèche,1219,5710,45352,9033,49592,14199,42836,4189,8544,9551,1817,4925,3268,1507,54166
Ardennes,1080,3010,31667,4081,48227,8775,22285,1738,3449,5547,1113,2955,1912,1006,49349
Ariège,417,2701,18070,7532,21958,5820,23908,3208,3020,2724,723,1621,1511,796,25030
Aube,1005,3094,38318,3787,49308,11373,22482,1720,4619,8921,1061,3965,2340,1174,52382
Aude,1026,5622,43104,12382,64027,18434,42039,6166,6322,7350,1748,4206,2963,1567,62970
Aveyron,894,4515,47430,14825,34354,10112,32733,4470,6746,9988,1354,3477,3051,1686,43832
Bouches-du-Rhône,3578,24295,229038,24256,264754,108617,237971,11760,42109,36228,5963,20051,13341,5407,383798
Calvados,2757,8777,120366,9816,91774,22255,73949,6848,19641,18383,3764,7920,5547,2572,117779
Cantal,555,2496,25038,6848,21570,4906,12943,1810,2751,6987,650,1547,1804,821,25019
Charente,1319,5374,53125,8482,50430,10617,37305,4003,7557,8343,1763,4345,3293,1744,59908
Charente-Maritime,2331,10002,113753,14335,99791,24347,71633,6857,19012,19316,3403,9289,5871,2825,116437
Cher,1304,5749,43497,5495,44772,10822,27901,2585,5028,8147,1459,3770,3146,1087,59808
Corrèze,885,6292,33125,10177,31658,8012,27731,3605,5040,12278,1179,2618,2517,1485,38430
Corse-du-Sud,198,1866,13022,6807,20285,9279,9412,630,2281,3808,612,1226,1099,1027,42371
Haute-Corse,257,2687,13772,8601,21999,9657,10367,962,2520,5552,762,1375,1376,967,48272
Côte-d'Or,1774,5721,80740,8183,69108,21651,53876,5126,13461,14344,2286,6478,4588,1646,77879
Côtes-d'Armor,2603,11628,113654,11949,79850,17319,74226,8288,19349,17227,3896,6401,5722,3043,96596
Creuse,490,2430,15542,4275,16772,3501,13679,1641,1906,4391,665,1556,1388,743,21967
Dordogne,1295,8877,58648,15885,63498,15815,50164,5374,8582,11300,2224,5428,3649,2573,64856
Doubs,2069,5001,76336,8688,66703,19486,55587,4902,13090,15111,2345,7775,5003,2166,84117
Drôme,2041,6752,72228,9945,70574,22009,65257,5310,14234,13204,2109,7758,4577,1901,84289
Eure,2197,7056,83059,7768,102951,20930,55568,4027,11477,13552,2710,7563,5006,1871,106463
Eure-et-Loir,1419,4267,59869,5694,61960,14803,40529,3076,7904,13003,1766,5731,3489,1418,78960
Finistère,3627,15340,174892,18320,100890,25607,116592,13077,33200,26541,6266,8556,8692,3220,154888
Gard,1768,12123,88276,15162,121478,38479,88826,6624,14993,15395,2716,8132,5801,2544,132674
Haute-Garonne,3015,16338,197049,35517,133411,50699,189462,19700,42711,27195,4899,12460,10148,4351,183366
Gers,529,3128,28970,11720,26013,8394,21353,3861,4089,5126,793,2418,1749,866,28270
Gironde,3679,21522,256179,37725,191542,58321,194775,19598,46677,37575,8734,15693,12367,5147,249014
Hérault,2581,14165,142302,22068,165729,57747,154823,12155,28057,23234,4393,11474,8854,4020,195749
Ille-et-Vilaine,3783,12696,205894,13985,101797,27463,132510,13973,42613,26194,5376,10560,9494,3882,161431
Indre,1085,3702,31497,4983,34514,7438,20952,2463,3726,6588,1154,2886,2417,1289,41406
Indre-et-Loire,2243,7833,101503,8520,70553,19931,68012,6216,16244,16279,2882,7271,5418,2047,105550
Isère,3479,14699,180553,17031,154889,47463,153506,12737,40387,28581,4831,14332,10995,3281,198671
Jura,1053,3166,36138,6218,38177,9657,28881,2635,6388,7423,1342,4143,2567,1175,41634
Landes,1115,8176,69459,24308,58646,16817,44548,9071,8628,10393,1975,4914,4033,1600,65654
Loir-et-Cher,1246,4507,50480,5483,50212,12703,30377,3165,7097,9586,1527,4427,3151,1407,59346
Loire,2391,9018,104096,11944,97846,28728,78222,6973,16671,18558,2772,9043,6675,2264,118593
Haute-Loire,1020,3503,32401,7800,38585,9517,24291,2482,5796,9532,1203,3363,2817,1227,36965
Loire-Atlantique,4712,18322,256609,18298,135702,42761,187977,18369,60072,37541,7279,14785,13372,4555,236339
Loiret,1959,7530,97003,8483,85832,22878,63486,5656,14401,18086,2432,7674,5486,2176,114468
Lot,618,3559,27308,8031,21421,6123,25932,2766,4603,5648,976,2400,1716,1013,27164
Lot-et-Garonne,889,4970,42567,13599,50288,15646,34044,3357,5685,7702,1436,3912,2779,1523,52902
Lozère,235,1343,10739,4722,10497,3148,9153,1045,1736,3038,426,913,728,410,11679
Maine-et-Loire,3079,8360,157086,11028,89386,21693,80606,8796,26614,21521,3654,9411,8005,3044,136884
Manche,2249,7368,92642,9421,69770,13990,46940,5853,11873,14746,2720,6886,4747,1948,93460
Marne,1778,5307,78472,6921,83756,19501,42858,3542,9561,14357,1894,6159,3796,1732,101010
Haute-Marne,696,1833,21886,3327,34331,6450,13228,1305,2580,4841,747,2584,1489,819,33273
Mayenne,1273,3313,60755,4673,37376,8042,25608,3468,7934,9236,1372,3858,3483,1519,52812
Meurthe-et-Moselle,2376,7961,95273,8750,97282,23538,73917,6358,14593,13390,3214,7282,5047,2302,130782
Meuse,702,1957,24538,3500,34582,7347,13556,1483,3130,4401,882,2421,1509,705,34092
Morbihan,2952,11529,152740,14399,102856,26595,84200,8267,27036,22838,4376,9586,7959,3119,130520
Moselle,3499,8750,136366,14163,159254,39369,100159,7534,18931,19300,4343,12651,7943,3353,210299
Nièvre,833,4281,28686,4106,32838,7378,19930,2160,3552,5172,1010,2495,1958,937,38849
Nord,7673,45902,336138,22459,373127,73168,279785,18215,46962,42470,8265,20617,17416,7676,514033
Oise,2869,9076,100388,9205,133449,30448,79648,4274,13836,17508,3060,9420,6350,2509,142081
Orne,1203,3261,46005,4895,41804,8910,22993,2368,5513,8838,1334,3826,2586,1067,50935
Pas-de-Calais,5891,26152,194649,17019,305900,40776,124759,11619,19302,25320,5491,13975,10605,5946,286319
Puy-de-Dôme,2556,12713,100133,16136,78182,20624,74534,8216,17029,17352,3189,6928,6673,2980,100903
Pyrénées-Atlantiques,1677,10170,111610,48245,69768,25877,76030,9276,19967,17166,4981,6721,5816,2491,110134
Hautes-Pyrénées,636,4539,33692,14761,29938,8714,26449,3315,4870,4562,1003,2409,1958,1003,39595
Pyrénées-Orientales,1312,6509,55169,11690,87930,24782,51556,5012,8587,8815,1995,5197,3528,2278,87716
Bas-Rhin,3685,7011,177018,14655,145869,40459,105039,8356,28579,24805,4156,17000,8333,3453,190255
Haut-Rhin,2265,4649,107244,11059,106930,30282,66234,4881,18963,15993,2842,13744,6382,2409,137861
Collectivité départementale du Rhône,1279,4775,86323,7520,65865,23855,45584,4449,14382,16377,1531,7175
Métropole de Lyon,2495,11163,191920,10052,84598,50313,183452,11446,37525,33886,3736,9312,8029,2611,186270
Haute-Saône,1171,2836,30204,4819,46615,9673,21089,2345,4291,6754,1295,3640,2364,1580,39039
Saône-et-Loire,1979,7419,82632,10186,81969,20686,52336,6037,10730,15210,2369,7745,5864,2461,95369
Sarthe,2150,6908,83876,7546,82235,16218,54244,5409,13541,15937,2505,6494,6680,2112,105499
Savoie,1205,5536,64689,8081,56733,18045,49858,4418,15642,13608,1849,6694,3931,1491,68929
Haute-Savoie,1880,5996,130422,13371,87745,33353,78062,6606,29948,22349,3232,14174,6867,2277,129393
Paris,2898,17292,373198,12152,58498,86179,317809,22936,80373,69624,5738,9601,11014,4057,296656
Seine-Maritime,4433,19896,179689,13587,177797,33361,136132,11138,24784,24280,5477,12364,10779,3388,222199
Seine-et-Marne,3442,12856,165357,13802,155932,47888,171063,7859,26734,36857,4616,15050,11052,3511,223255
Yvelines,2774,11721,246057,13687,101395,64407,168583,9046,40470,61297,3963,13097,9603,3436,211709
Deux-Sèvres,1645,4545,68540,7026,47979,8813,39197,4348,10088,9262,2136,4536,3802,1894,59398
Somme,2500,7716,83185,7376,98208,16908,52415,3755,8050,11397,2207,5623,4843,3186,102687
Tarn,1175,5313,53925,17010,56543,15982,48430,5818,8680,10014,1829,5123,3451,2067,62818
Tarn-et-Garonne,679,3628,31737,9573,42182,11772,27881,3069,4835,5994,1057,3412,2173,1089,39625
