;Christian-Jacques Arnal;Nathalie Arthaud;François Asselineau;Michel Barnier;Corinne Békaert;Christophe Blanchet;Jean-Louis Borloo;Thierry Cahez;Marie Cau;Arnaud Chiche;Patrick Cojan;Carole Delga;Nicolas Dupont-Aignan;Clara Egger;Bertrand Fessard de Foucault;Eric Régis Fiorile;Jean-Marc Fortané;Jean Baptiste Giffon;Raphaël Glucksmann;Anne Hidalgo;François Hollande;Yannick Jadot;Alexandre Juving-Brunet;Anasse Kazib;Gaspard Koenig;Georges Kuzmanovic;Nicolas Lacroix;Yaya Lam;Jean Lassalle;Christian Laurut;Marine Le Pen;Emmanuel Macron;Philippe Célestin Marechal;Antoine Martinez;Philippe Mazuel;Jean-Luc Mélenchon;Emmanuelle Ménard;Guillaume Meurice;Nicolas Miguet;Paul Montserrat;Arnaud Montebourg;Valérie Pécresse;Thomas Pesquet;Edouard Philippe;Florian Philippot;Philippe Poutou;Stéphanie Rivoal;Martin Rocca;Antoine Rocquemont;Fabien Roussel;François Ruffin;Laetitia Saint-Paul;Josef Schovanec;Rafik Smati;Christiane Taubira;Hélène Thouy;Gildas Vieira;Antoine Waechter;Stéphane Wendlinger;Éric Zemmour
Ain;0;6;1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;10;0;5;0;0;0;1;0;0;9;0;5;14;0;0;0;9;0;0;1;0;0;45;0;0;0;3;1;1;0;1;0;0;0;1;4;2;0;0;0;11
Aisne;0;21;22;0;0;0;0;0;0;0;0;0;16;2;0;0;0;0;0;3;0;8;0;10;3;1;0;0;3;0;19;28;0;0;0;11;0;0;2;0;0;26;0;0;0;18;0;0;0;11;0;0;0;0;0;1;0;0;0;22
Allier;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;3;0;0;1;0;0;0;5;0;1;8;0;0;0;4;0;0;0;0;0;19;0;0;0;0;0;1;0;17;0;0;0;1;3;1;0;0;0;3
Alpes-de-Haute-Provence;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;2;0;3;0;1;0;0;0;0;3;0;4;19;0;0;0;12;0;0;0;0;0;4;0;0;0;3;0;0;0;6;0;0;0;0;3;0;0;0;0;7
Hautes-Alpes;0;5;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;10;0;3;9;0;0;0;12;0;0;0;0;0;16;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Alpes-Maritimes;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;9;21;0;0;0;2;0;0;0;0;0;88;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3
Ardèche;0;5;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;18;0;3;0;0;1;1;0;0;4;0;3;5;0;0;0;13;0;0;0;0;0;18;0;0;0;7;0;0;0;5;0;0;0;0;3;1;0;0;1;5
Ardennes;0;16;10;1;0;0;0;0;0;0;0;0;21;2;0;0;1;0;0;4;0;3;0;5;2;3;0;0;9;0;5;12;0;0;0;5;0;0;4;0;0;28;0;0;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;18
Ariège;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;57;0;1;0;8;0;0;0;0;10;0;2;4;0;0;0;22;0;0;0;0;0;1;0;0;0;9;0;0;0;6;0;0;0;0;3;0;0;0;0;0
Aube;0;4;15;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;6;1;13;6;0;3;0;4;0;0;0;0;0;37;0;0;0;9;0;0;1;1;0;0;0;0;1;3;0;0;0;19
