RegioNaam;FvD;VVD;CDA;GL;PvdA;D66;PVV;SP;CU;PvdD;50;SGP;DENK;50+/PvdO;Lokaal Brabant;CO;Fryske Nasjonale Partij (FNP);CU-SGP;Groninger Belang;LOKAAL-LIMBURG;Ouderenpartij Noord-Holland;Lokale Partijen Zuid Holland (LPZH);NIDA;Lokale Partijen Gelderland-Code Oranje;Partij voor Zeeland (PVZ);Partij voor het Noorden;Senioren Brabant;Sterk Lokaal;Ouderen Appèl - Hart voor Brabant;U26 GEMEENTEN;Provinciaal Belang Fryslân;Onafhankelijke Partij Drenthe;Natuurlijk Fryslân;JL;Senioren Belang;Ouderen Politiek Actief (OPA);Respect!;@abs;@inv;@blank
Aa en Hunze;1396;2369;794;1348;2071;854;587;685;399;585;397;37;11;;;;;;;;;;;;;;;1195;;;;297;;;57;;;7548;20;36
Aalsmeer;2942;2861;1665;1139;943;953;768;439;913;462;;;43;374;;174;;;;;144;;25;;;;;;;;;;;;;;;9063;27;53
Aalten;1402;1503;3357;828;830;631;602;819;742;315;452;85;73;;;;;;;;;;;125;;;;;;;;;;21;;;;9367;27;41
Achtkarspelen;2000;637;2471;466;1157;245;1206;494;1507;195;181;270;8;;;;1243;;;;;;;;;;;;;;288;;52;;;;;9115;20;29
Alblasserdam;1351;913;730;311;767;334;595;317;1075;218;318;1794;132;;;53;;;;;;61;10;;;;;;;;;;;34;;;;5805;34;12
Albrandswaard;2605;2094;893;619;705;671;779;427;490;437;636;176;106;;;39;;;;;;82;15;;;;;;;;;;;10;;;;8234;29;29
Alkmaar;7215;6231;3383;7484;5258;3994;2841;2735;1270;3144;;;649;1231;;837;;;;;1115;;185;;;;;;;;;;;;;;;35951;135;129
Almelo;4491;3760;3393;2178;2519;1455;3252;2040;1376;811;995;197;1112;;;;;;;;;;;;;;;;;;;;;;;;;27591;86;70
Almere;13303;9271;2721;7724;6880;4260;7028;4527;2491;4289;4512;256;2199;;;;;;;;;;;;;;;;;;;;;221;;518;544;77382;355;198
Alphen aan den Rijn;8246;9426;4890;4158;3458;3865;2615;2356;3162;1755;2083;1591;543;;;174;;;;;;402;96;;;;;;;;;;;;;;;35340;106;140
Alphen-Chaam;672;892;1195;245;195;348;270;257;;157;197;;7;;96;110;;32;;;;;;;;;36;;15;;;;;;;;;3195;6;15
Altena;3482;2238;5391;806;865;686;1645;963;;496;385;;14;;571;49;;6341;;;;;;;;;115;;57;;;;;;;;;18300;40;30
Ameland;291;275;317;60;181;55;99;47;35;37;57;2;0;;;;38;;;;;;;;;;;;;;220;;26;;;;;1119;4;5
Amersfoort;7083;10018;5858;11991;5958;6920;2866;3801;6765;3458;1906;788;2128;;;;;;;;;;;;;;;;;531;;;;;;;;45654;154;212
Amstelveen;4865;6919;2154;5182;3397;4320;1639;1435;1340;1972;;;240;1203;;399;;;;;384;;117;;;;;;;;;;;;;;;22962;95;109
Amsterdam;26702;33459;6957;73344;35237;41905;10538;15384;6475;26903;;;18561;5880;;2899;;;;;1410;;2405;;;;;;;;;;;;;;;273085;1455;822
Apeldoorn;9750;10042;6257;7637;6286;5518;4459;3504;5916;3611;3628;3164;1382;;;;;;;;;;;941;;;;;;;;;;145;;;;53821;221;164
Appingedam;501;287;519;259;521;179;330;621;347;103;106;;47;;;;;;497;;;;;;;451;;;;;;;;;;;;4593;10;14
Arnhem;7117;7275;3296;10311;6500;6328;3793;3619;2263;4984;1827;206;2363;;;;;;;;;;;728;;;;;;;;;;76;;;;58951;223;183
Assen;3251;3214;2050;3285;4120;2322;1398;2114;3719;1164;1499;236;115;;;;;;;;;;;;;;;992;;;;419;;;134;;;22407;81;81
Asten;951;971;2640;377;335;473;457;498;;201;250;;9;;143;16;;34;;;;;;;;;72;;31;;;;;;;;;5299;20;24
Baarle-Nassau;497;366;648;127;150;131;226;191;;110;151;;4;;65;12;;25;;;;;;;;;28;;7;;;;;;;;;2583;3;8
Baarn;1569;2420;1194;1527;914;1115;551;400;657;578;502;134;135;;;;;;;;;;;;;;;;;88;;;;;;;;7366;35;28
Barendrecht;4771;3330;1788;1270;1391;1303;1294;668;1252;709;1002;1217;269;;;51;;;;;;163;56;;;;;;;;;;;31;;;;15710;47;70
Barneveld;3677;2981;3956;778;816;727;1407;492;4423;434;647;7701;214;;;;;;;;;;;194;;;;;;;;;;66;;;;13586;61;55
Beek;1171;679;2002;616;408;462;936;556;84;281;387;;36;;;;;;;157;;;;;;;;;;;;;;;;;;5339;23;21
Beekdaelen;2327;1459;3844;1541;1034;724;1976;1162;214;702;529;;23;;;;;;;523;;;;;;;;;;;;;;;;;;12989;41;71
Beemster;857;1012;591;461;462;387;304;165;73;249;;;4;109;;69;;;;;126;;3;;;;;;;;;;;;;;;2729;6;16
Beesel;827;554;1226;345;344;271;998;391;43;132;264;;70;;;;;;;271;;;;;;;;;;;;;;;;;;4888;16;34
Berg en Dal;2359;2226;1899;2096;1453;1211;1396;1393;254;862;818;45;37;;;;;;;;;;;144;;;;;;;;;;;;;;11813;53;47
Bergeijk;1123;1189;1841;449;409;424;595;616;;282;314;;6;;439;53;;46;;;;;;;;;100;;38;;;;;;;;;6598;26;20
Bergen;917;478;1269;316;510;192;890;545;52;159;187;;8;;;;;;;58;;;;;;;;;;;;;;;;;;4923;25;34
Bergen;2665;2880;1321;2171;1386;1323;858;594;341;1178;;;13;377;;356;;;;;279;;20;;;;;;;;;;;;;;;8539;23;46
Bergen op Zoom;4133;3961;2459;2095;1611;1937;2270;1998;;933;1320;;888;;669;67;;306;;;;;;;;;154;;147;;;;;;;;;26227;68;94
Berkelland;2917;4281;3760;1866;2064;1212;1124;1696;452;643;993;86;49;;;;;;;;;;;256;;;;;;;;;;17;;;;13725;40;69
Bernheze;1651;2154;2647;762;593;1108;797;1633;;269;410;;17;;391;23;;85;;;;;;;;;88;;52;;;;;;;;;11035;34;39
Best;1795;2207;1447;856;694;1407;841;983;;391;722;;132;;255;35;;389;;;;;;;;;132;;118;;;;;;;;;10143;32;32
Beuningen;2099;1914;1200;1024;963;900;809;871;181;404;630;20;51;;;;;;;;;;;122;;;;;;;;;;;;;;9746;38;32
Beverwijk;3113;1771;1047;1917;1461;1078;1279;945;351;712;;;383;513;;454;;;;;297;;58;;;;;;;;;;;;;;;14828;45;47
Bladel;1068;1266;1994;489;502;467;609;749;;228;447;;5;;202;32;;55;;;;;;;;;141;;63;;;;;;;;;7428;21;18
Blaricum;932;1610;461;370;363;517;249;170;194;210;;;27;140;;45;;;;;98;;8;;;;;;;;;;;;;;;2959;18;3
