;WN;VVD;CDA;PvdA;50+;AWP;PvdD;CU;SGP;Groen, Water & Land;Waterschapspartij Hollandse Delta;CU-SGP;Water, Wonen en Natuur;Ons Water;Waterbelang Parkstad;Lokaal Waterbeheer;Waterbelang Westelijke Mijnstreek;Waterbelang Midden-Limburg;De Groenen;Fryske Nasjonale Partij (FNP);West-Brabant Waterbreed;Gemeentebelangen Drenthe~Overijssel;Waterbelang Heuvelland;Vrienden van de Berkel;AWPenLRR niet politiek, wel lokaal;Lagere Lasten Burger;Lokaal Limburg;Waterbelang Venlo;Waterbelang Land van Weert + Leudal;Partij voor Zeeland;AWP niet politiek, wel deskundig;Hollandse Delta Natuurlijk;SGP-ChristenUnie;Waterbelang Maastricht;Waterbelang Venray en Maasduinen;Ouderen Appèl - Hart voor Water;Natuurlijk BBW;Waterbelang Horst-Helden-Beesel;Werken aan Water;Werk aan Water Flevoland;Waterschap@inwonersbelangen;OUDERENPARTIJ;Ons-Platteland;Waterschapspartij Zeeuws-Vlaanderen;Forum Duurzaam Effectief Waterschap;Waterschapspartij PUUR.;Betaalbaar Water;Vereniging Dorpshuizen en Kleine Kernen;AWP Niet Politiek Wel Deskundig;Trots op Nederland (TROTS);Socialistische Waterschapsvereniging;Ouderen Politiek Actief (OPA);Verenigde Senioren Partij;QUEER;Partij Sociaal Cultureel Centrum (PSCC);Blanco lijst 8;Blanco lijst 11;De Republikeinse Politieke Partij;Integer Liberaal;@abs;@inv;@blank
Aa en Hunze (Hunze en Aa's);4116;2707;832;2182;825;1370;;472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8256;43;186
Aa en Hunze (Drents Overijsselse Delta);18;32;7;;6;6;;1;6;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;0;3
Aalsmeer (Amstel, Gooi en Vecht);457;835;850;390;271;;326;220;;;;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;187;;;;;;38;;;14;;;;18;;3075;6;68
Aalsmeer (Rijnland);1630;2558;1740;970;825;390;777;;;;;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134;;;;;;;;;;7612;27;198
Aalten;1704;1446;4360;1364;654;551;;;;;;;;;;;;;;;;;;590;;;;;;;;;;;;;;;;;;;;;;;;593;;;;;;;;;;;;10261;35;211
Achtkarspelen;1076;614;2854;1155;418;;440;1754;;;;;;;;;;;;2470;;;;;;1120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9763;21;158
Alblasserdam;753;940;1209;1028;616;;614;1345;1857;;;;;;;;;;;;;;;;396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6508;26;118
Albrandswaard;731;1747;1045;833;1098;430;;578;188;;2591;;;;;;;;;;;;;;;;;;;;;1155;;;;;;;;;;;;;;;;;;;;;;;;;;;;9047;56;178
Alkmaar;5363;4899;3733;7744;3962;3404;;1396;;13328;;;;;;;;;;;;;;;;;;;;;;;;;;;1788;;;;;;;;;;;;;;;;;;;;;;;41368;179;999
Almelo;7625;4036;4212;;2224;4193;;1656;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1202;;;;;;;;;;;;;;237;;;;31795;127;633
Almere;;9236;3308;;9788;4882;;;;;;4312;26674;;;;;;;;;;;;;;;;;;;;;;;;;;;7023;;;;;;;;;;;;2777;;;;;;;;90284;501;1671
Alphen aan den Rijn (De Stichtse Rijnlanden);1;1;7;1;0;;0;2;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;8;0;0
Alphen aan den Rijn (Rijnland);5597;9553;8373;6097;3752;4038;4299;;;;;5016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;622;;;;;;;;;;40395;143;700
Alphen-Chaam (Brabantse Delta);454;869;1448;298;291;90;306;36;;;;;;441;;;;;;;251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3654;24;99
Alphen-Chaam (De Dommel);0;0;4;0;0;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;;;;;;;;;;;;;;;;;;;;;0;0;0
Altena;2185;3082;6530;1165;1154;;1065;3146;3822;;;;;;;;;;;;;;;;939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20058;81;263
Ameland;422;241;345;196;130;;66;45;;;;;;;;;;;;82;;;;;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1260;8;29
Amersfoort;12987;10923;6840;10183;4562;7733;;7784;1298;;;;;;;4255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;571;;;;;;;52140;271;1763
Amstelveen (Amstel, Gooi en Vecht);5744;8027;2874;5272;2497;;4101;1397;;;;;;;;;;;1910;;;;;;;;;;;;;;;;;;;;;;;;;;1140;;;;;;361;;;146;;;;114;;32101;173;646
