div;seats;layout;orientation;cx;cy
North East England Region;29;Regular;;77.273;28.629
North West England Region;75;Regular;;51.119;55.764
Yorkshire and the Humber Region;54;Regular;;87.081;58.379
West Midlands Region;59;Regular;;66.811;99.571
East Midlands Region;46;Regular;;93.619;87.312
South East England Region;84;Regular;;95.254;158.418
South West England Region;55;Regular;;48.503;142.725
Greater London Region;73;Regular;;105.061;127.360
East of England Region;58;Regular;;122.715;97.937
Wales;40;Regular;;37.715;103.495
Scotland;59;Regular;;134.811;52.821
