State;White;Black;Hispanic;AAPI
Alabama;3192955;1364474;219296;66735
Alaska;437714;34639;52548;53037
Arizona;3929213;434612;2310592;248563
Arkansas;2171931;502913;231951;58512
California;14356081;2782446;15574882;5928557
Colorado;3888129;313737;1256903;190520
Connecticut;2339665;470791;600954;166678
Delaware;597001;237780;93390;36794
District of Columbia;263153;333312;79477;28436
Florida;11378457;3772874;5663629;601285
Georgia;5502156;3556697;1042642;441686
Hawaii;305020;49041;150864;680065
Idaho;1458027;21666;229494;26475
Illinois;7690980;1951681;2216300;713016
Indiana;5272268;740150;485554;172550
Iowa;2684701;162710;197482;77078
Kansas;2196485;214714;354804;87735
Kentucky;3762699;424716;168017;76179
Louisiana;2707712;1554297;250203;81954
Maine;1247719;32313;23067;15316
Maryland;3011980;1946932;643171;386164
Massachusetts;4846166;684786;853735;472600
Michigan;7457021;1528779;525973;327516
Minnesota;4451938;454116;314217;286040
Mississippi;1675524;1156497;90143;31011
Missouri;4854400;792197;264334;134747
Montana;916551;14608;40328;8899
Nebraska;1515756;117408;219472;49122
Nevada;1473587;347489;900599;276861
New Hampshire;1219067;30557;54182;36428
New Jersey;4824866;1339574;1856845;851734
New Mexico;770678;70254;1032950;34323
New York;10710524;3424002;3749257;1673087
North Carolina;6552128;2424132;1022995;312369
North Dakota;637376;30067;30486;13422
Ohio;9157673;1686729;467589;277515
Oklahoma;2567995;365883;438106;92190
Oregon;3158958;124502;566839;205014
Pennsylvania;9680558;1649737;997830;453511
Rhode Island;750077;101579;172643;36465
South Carolina;3271797;1441530;298478;93476
South Dakota;721020;26679;33018;13603
Tennessee;5006712;1228973;389127;127482
Texas;11929568;3908287;11524842;1451720
Utah;2490644;61766;462054;104668
Vermont;576892;13042;12408;8806
Virginia;5212705;1820891;828154;564377
Washington;5126694;429718;991723;729088
West Virginia;1649468;86426;26823;14371
Wisconsin;4704609;438719;412769;170346
Wyoming;484403;12428;58607;5261
Puerto Rico;42606;609279;3134759;2650
United States;196789401;46713850;60481746;18993387
