fullName;shortName;circleColor;shadeColor;emoji
Regine Aeppli, Rita Fuhrer, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#56834f;#56834f;
Regine Aeppli, Rita Fuhrer, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Markus Kägi, Markus Notter;;#1ab262;#1ab262;
Rita Fuhrer, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#1bbe34;#1bbe34;
Regine Aeppli, Rita Fuhrer, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Notter;;#1cc63f;#1cc63f;
Regine Aeppli, Martin Bäumle, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Notter;;#c9891d;#c9891d;
Martin Bäumle, Rita Fuhrer, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#1cc63f;#1cc63f;
Regine Aeppli, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#9c9134;#9c9134;
Regine Aeppli, Martin Bäumle, Rita Fuhrer, Ursula Gut-Winteberger, Hans Hollenstein, Markus Kägi, Markus Notter;;#adb019;#adb019;
Regine Aeppli, Martin Bäumle, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#a49437;#a49437;
Regine Aeppli, Rita Fuhrer, Martin Graf, Ursula Gut-Winteberger, Thomas Heiniger, Hans Hollenstein, Markus Kägi, Markus Notter;;#66b71a;#66b71a;
Regine Aeppli, Martin Bäumle, Rita Fuhrer, Martin Graf, Thomas Heiniger, Hans Hollenstein, Markus Notter;;#cea405;#cea405;
