Aeugst am Albis;Ursula Gut-Winteberger;0.4671
Affoltern am Albis;Ursula Gut-Winteberger;0.4699
Bonstetten;Ursula Gut-Winteberger;0.4527
Hausen am Albis;Ursula Gut-Winteberger;0.4959
Hedingen;Ursula Gut-Winteberger;0.4650
Kappel am Albis;Ursula Gut-Winteberger;0.5769
Knonau;Ursula Gut-Winteberger;0.4802
Maschwanden;Ursula Gut-Winteberger;0.4790
Mettmenstetten;Ursula Gut-Winteberger;0.4714
Obfelden;Ursula Gut-Winteberger;0.4541
Ottenbach;Ursula Gut-Winteberger;0.4701
Rifferswil;Ursula Gut-Winteberger;0.4483
Stallikon;Ursula Gut-Winteberger;0.5118
Wettswil am Albis;Ursula Gut-Winteberger;0.5076
Adlikon;Ursula Gut-Winteberger;0.6222
Andelfingen;Ursula Gut-Winteberger;0.5210
Benken;Ursula Gut-Winteberger;0.5182
Berg am Irchel;Ursula Gut-Winteberger;0.5585
Buch am Irchel;Ursula Gut-Winteberger;0.5827
Dachsen;Ursula Gut-Winteberger;0.4517
Dorf;Rita Fuhrer;0.5659
Feuerthalen;Ursula Gut-Winteberger;0.4313
Flaach;Ursula Gut-Winteberger;0.5968
Flurlingen;Ursula Gut-Winteberger;0.4991
Henggart;Ursula Gut-Winteberger;0.4921
Humlikon;Ursula Gut-Winteberger;0.5910
Kleinandelfingen;Ursula Gut-Winteberger;0.5235
Laufen-Uhwiesen;Ursula Gut-Winteberger;0.4831
Marthalen;Ursula Gut-Winteberger;0.5262
Oberstammheim;Ursula Gut-Winteberger;0.5587
Ossingen;Ursula Gut-Winteberger;0.5315
Rheinau;Markus Notter;0.4178
Thalheim an der Thur;Ursula Gut-Winteberger;0.6128
Trüllikon;Ursula Gut-Winteberger;0.5411
Truttikon;Ursula Gut-Winteberger;0.5219
Unterstammheim;Ursula Gut-Winteberger;0.4676
Volken;Ursula Gut-Winteberger;0.5698
Waltalingen;Rita Fuhrer;0.4985
Bachenbülach;Ursula Gut-Winteberger;0.4466
Bassersdorf;Hans Hollenstein;0.4251
Bülach;Hans Hollenstein;0.4109
Dietlikon;Ursula Gut-Winteberger;0.4386
Eglisau;Ursula Gut-Winteberger;0.4447
Embrach;Ursula Gut-Winteberger;0.4399
Freienstein-Teufen;Ursula Gut-Winteberger;0.4417
Glattfelden;Ursula Gut-Winteberger;0.4220
Hochfelden;Thomas Heiniger;0.4037
Höri;Markus Kägi;0.4835
Hüntwangen;Ursula Gut-Winteberger;0.4652
Kloten;Hans Hollenstein;0.4240
Lufingen;Ursula Gut-Winteberger;0.5117
Nürensdorf;Hans Hollenstein;0.4322
Oberembrach;Ursula Gut-Winteberger;0.5816
Opfikon;Ursula Gut-Winteberger;0.4479
Rafz;Ursula Gut-Winteberger;0.4647
Rorbas;Ursula Gut-Winteberger;0.4498
